word_tax_code;candidate_tax_code;status;score;explanation;edp_exact;tax_family;variant;semantic_attributes;hierarchical_context;document_structure
KÄ660RE52FV;KÄ660RE52FV;MATCH;0.7820;"MATCH: samlad poäng bygger främst på edp_exact=1.00; variant=0.91; tax_family=1.00.";1.0;1.0;0.91;0.0;1.0;1.0
KÄ660RE52FV;KÄ660RE52FV;MATCH;0.7820;"MATCH: samlad poäng bygger främst på edp_exact=1.00; variant=0.91; tax_family=1.00.";1.0;1.0;0.91;0.0;1.0;1.0
SLSLANG;SLSLANG;MATCH;0.7500;"MATCH: samlad poäng bygger främst på edp_exact=1.00; variant=1.00; tax_family=1.00.";1.0;1.0;1.0;0.0;1.0;0.0
SLSLANG;SLSLANG;MATCH;0.7500;"MATCH: samlad poäng bygger främst på edp_exact=1.00; variant=1.00; tax_family=1.00.";1.0;1.0;1.0;0.0;1.0;0.0
SLSLANG;SLSLANG;MATCH;0.7500;"MATCH: samlad poäng bygger främst på edp_exact=1.00; variant=1.00; tax_family=1.00.";1.0;1.0;1.0;0.0;1.0;0.0
SLSLANG;SLSLANG;MATCH;0.7500;"MATCH: samlad poäng bygger främst på edp_exact=1.00; variant=1.00; tax_family=1.00.";1.0;1.0;1.0;0.0;1.0;0.0
SLSLANG;SLSLANG;MATCH;0.7500;"MATCH: samlad poäng bygger främst på edp_exact=1.00; variant=1.00; tax_family=1.00.";1.0;1.0;1.0;0.0;1.0;0.0
SLSLANG;SLSLANG;MATCH;0.7500;"MATCH: samlad poäng bygger främst på edp_exact=1.00; variant=1.00; tax_family=1.00.";1.0;1.0;1.0;0.0;1.0;0.0
SLSLANG;SLSLANG;MATCH;0.7500;"MATCH: samlad poäng bygger främst på edp_exact=1.00; variant=1.00; tax_family=1.00.";1.0;1.0;1.0;0.0;1.0;0.0
SLSLANG;SLSLANG;MATCH;0.7500;"MATCH: samlad poäng bygger främst på edp_exact=1.00; variant=1.00; tax_family=1.00.";1.0;1.0;1.0;0.0;1.0;0.0
SLSLANG;SLSLANG;MATCH;0.7500;"MATCH: samlad poäng bygger främst på edp_exact=1.00; variant=1.00; tax_family=1.00.";1.0;1.0;1.0;0.0;1.0;0.0
SLSLANG;SLSLANG;MATCH;0.7500;"MATCH: samlad poäng bygger främst på edp_exact=1.00; variant=1.00; tax_family=1.00.";1.0;1.0;1.0;0.0;1.0;0.0
SLSLANG;SLSLANG;MATCH;0.7500;"MATCH: samlad poäng bygger främst på edp_exact=1.00; variant=1.00; tax_family=1.00.";1.0;1.0;1.0;0.0;1.0;0.0
SLSLANG;SLSLANG;MATCH;0.7500;"MATCH: samlad poäng bygger främst på edp_exact=1.00; variant=1.00; tax_family=1.00.";1.0;1.0;1.0;0.0;1.0;0.0
SLSLANG;SLSLANG;MATCH;0.7500;"MATCH: samlad poäng bygger främst på edp_exact=1.00; variant=1.00; tax_family=1.00.";1.0;1.0;1.0;0.0;1.0;0.0
KÄ660RE52FV;KÄ660RE52FV;MATCH;0.7320;"MATCH: samlad poäng bygger främst på edp_exact=1.00; variant=0.91; tax_family=1.00.";1.0;1.0;0.91;0.0;1.0;0.0
KÄ660RE52FV;KÄ660RE52FV;MATCH;0.7320;"MATCH: samlad poäng bygger främst på edp_exact=1.00; variant=0.91; tax_family=1.00.";1.0;1.0;0.91;0.0;1.0;0.0
KÄ660RE52FV;KÄ660RE52FV;MATCH;0.7320;"MATCH: samlad poäng bygger främst på edp_exact=1.00; variant=0.91; tax_family=1.00.";1.0;1.0;0.91;0.0;1.0;0.0
KÄ660RE52FV;KÄ660RE52FV;MATCH;0.7320;"MATCH: samlad poäng bygger främst på edp_exact=1.00; variant=0.91; tax_family=1.00.";1.0;1.0;0.91;0.0;1.0;0.0
KÄ660RE52FV;KÄ660RE52FV;MATCH;0.7320;"MATCH: samlad poäng bygger främst på edp_exact=1.00; variant=0.91; tax_family=1.00.";1.0;1.0;0.91;0.0;1.0;0.0
SLT03SL;SLT03SL;MATCH;0.6600;"MATCH: samlad poäng bygger främst på edp_exact=1.00; tax_family=1.00; variant=0.55.";1.0;1.0;0.55;0.0;1.0;0.0
SLT03SLBUD;SLT03SLBUD;MATCH;0.6600;"MATCH: samlad poäng bygger främst på edp_exact=1.00; tax_family=1.00; variant=0.55.";1.0;1.0;0.55;0.0;1.0;0.0
SLT03SLORD;SLT03SLORD;MATCH;0.6600;"MATCH: samlad poäng bygger främst på edp_exact=1.00; tax_family=1.00; variant=0.55.";1.0;1.0;0.55;0.0;1.0;0.0
SLT36SL;SLT36SL;MATCH;0.6600;"MATCH: samlad poäng bygger främst på edp_exact=1.00; tax_family=1.00; variant=0.55.";1.0;1.0;0.55;0.0;1.0;0.0
SLT36SLBUD;SLT36SLBUD;MATCH;0.6600;"MATCH: samlad poäng bygger främst på edp_exact=1.00; tax_family=1.00; variant=0.55.";1.0;1.0;0.55;0.0;1.0;0.0
SLT36SLORD;SLT36SLORD;MATCH;0.6600;"MATCH: samlad poäng bygger främst på edp_exact=1.00; tax_family=1.00; variant=0.55.";1.0;1.0;0.55;0.0;1.0;0.0
GROVBUD;GROVBUD;REVIEW;0.4900;"REVIEW: samlad poäng bygger främst på edp_exact=1.00; hierarchical_context=1.00; variant=0.45.";1.0;0.0;0.45;0.0;1.0;0.0
MB1600MA26;MB1600MA26;REVIEW;0.4900;"REVIEW: samlad poäng bygger främst på edp_exact=1.00; hierarchical_context=1.00; variant=0.45.";1.0;0.0;0.45;0.0;1.0;0.0
MB1600MA26;MB1600MA26;REVIEW;0.4900;"REVIEW: samlad poäng bygger främst på edp_exact=1.00; hierarchical_context=1.00; variant=0.45.";1.0;0.0;0.45;0.0;1.0;0.0
MB1600MA26;MB1600MA26;REVIEW;0.4900;"REVIEW: samlad poäng bygger främst på edp_exact=1.00; hierarchical_context=1.00; variant=0.45.";1.0;0.0;0.45;0.0;1.0;0.0
NYMAT;NYMAT;REVIEW;0.4900;"REVIEW: samlad poäng bygger främst på edp_exact=1.00; hierarchical_context=1.00; variant=0.45.";1.0;0.0;0.45;0.0;1.0;0.0
ÅBEHGF;ÅBEHGF;REVIEW;0.4900;"REVIEW: samlad poäng bygger främst på edp_exact=1.00; hierarchical_context=1.00; variant=0.45.";1.0;0.0;0.45;0.0;1.0;0.0
ÅBEHGO;ÅBEHGO;REVIEW;0.4900;"REVIEW: samlad poäng bygger främst på edp_exact=1.00; hierarchical_context=1.00; variant=0.45.";1.0;0.0;0.45;0.0;1.0;0.0
ÅBEHME;ÅBEHME;REVIEW;0.4900;"REVIEW: samlad poäng bygger främst på edp_exact=1.00; hierarchical_context=1.00; variant=0.45.";1.0;0.0;0.45;0.0;1.0;0.0
ÅBEHPA;ÅBEHPA;REVIEW;0.4900;"REVIEW: samlad poäng bygger främst på edp_exact=1.00; hierarchical_context=1.00; variant=0.45.";1.0;0.0;0.45;0.0;1.0;0.0
ÅBEHPL;ÅBEHPL;REVIEW;0.4900;"REVIEW: samlad poäng bygger främst på edp_exact=1.00; hierarchical_context=1.00; variant=0.45.";1.0;0.0;0.45;0.0;1.0;0.0
