Index;Section;Original tax point;Enriched tax point;Section context;Property context;Waste context;Service context;Container context;Confidence;Notes
1;2.1;En- och tvåbostadshus;En- och tvåbostadshus [Hushåll];Hushåll;En- och tvåbostadshus;;;;0.36;Kontext ärvd från sektion/rubrik/närliggande rader. | Kort taxarad – kontext är extra viktig.
2;2.1;Fritidshus;Fritidshus [Hushåll];Hushåll;Fritidshus;;;;0.36;Kontext ärvd från sektion/rubrik/närliggande rader. | Kort taxarad – kontext är extra viktig.
3;2.1;Verksamhet;Verksamhet [Hushåll];Hushåll;Verksamhet;;;;0.36;Kontext ärvd från sektion/rubrik/närliggande rader. | Kort taxarad – kontext är extra viktig.
4;2.1;Lägenhet i flerbostadshus;Lägenhet i flerbostadshus [Hushåll];Hushåll;Flerbostadshus;;;;0.36;Kontext ärvd från sektion/rubrik/närliggande rader.
5;2.1;Lägenhet för specialändamål;Lägenhet för specialändamål [Hushåll Flerbostadshus];Hushåll;Flerbostadshus;;;;0.36;Kontext ärvd från sektion/rubrik/närliggande rader.
6;2.1;Anläggning;Anläggning [Hushåll Flerbostadshus];Hushåll;Flerbostadshus;;;;0.36;Kontext ärvd från sektion/rubrik/närliggande rader. | Kort taxarad – kontext är extra viktig.
7;2.1;Säsongsbaserad uppställningsplats;Säsongsbaserad uppställningsplats [Hushåll Flerbostadshus];Hushåll;Flerbostadshus;;;;0.36;Kontext ärvd från sektion/rubrik/närliggande rader. | Kort taxarad – kontext är extra viktig.
8;2.1;Campingstuga/-lägenhet;Campingstuga/-lägenhet [Hushåll Flerbostadshus];Hushåll;Flerbostadshus;;;;0.36;Kontext ärvd från sektion/rubrik/närliggande rader. | Kort taxarad – kontext är extra viktig.
9;2.2.1;Kärl 240 l (mat-/restavfall);Kärl 240 l (mat-/restavfall) [Hushåll Flerbostadshus];Hushåll;Flerbostadshus;Restavfall;;Kärl;0.72;Kontext ärvd från sektion/rubrik/närliggande rader.
10;2.2.1;Extrakärl 190 l (restavfall);Extrakärl 190 l (restavfall) [Hushåll Flerbostadshus];Hushåll;Flerbostadshus;Restavfall;Extra;Kärl;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
