Index;Row type;Section;Tax point;Variant;Unit;Price;Parent index;Level;Confidence;Reason
1;SUBSECTION;2.1;En- och tvåbostadshus;;;1 650,00 kr;;2;0.96;Känd dokumentrubrik/fastighetstyp, inte taxepunkt.
2;SUBSECTION;2.1;Fritidshus;;;XX kr;;2;0.96;Känd dokumentrubrik/fastighetstyp, inte taxepunkt.
3;SUBSECTION;2.1;Verksamhet;;;XX kr;;2;0.96;Känd dokumentrubrik/fastighetstyp, inte taxepunkt.
4;SUBSECTION;2.1;Lägenhet i flerbostadshus;;lägenhet;XX kr;;2;0.96;Känd dokumentrubrik/fastighetstyp, inte taxepunkt.
5;SUBSECTION;2.1;Lägenhet för specialändamål;;lägenhet;XX kr;;2;0.96;Känd dokumentrubrik/fastighetstyp, inte taxepunkt.
6;SUBSECTION;2.1;Anläggning;;;XX kr;;2;0.96;Känd dokumentrubrik/fastighetstyp, inte taxepunkt.
7;SUBSECTION;2.1;Säsongsbaserad uppställningsplats;;;XX kr;;2;0.96;Känd dokumentrubrik/fastighetstyp, inte taxepunkt.
8;SUBSECTION;2.1;Campingstuga/-lägenhet;;lägenhet;XX kr;;2;0.96;Känd dokumentrubrik/fastighetstyp, inte taxepunkt.
9;TAX_NODE;2.2.1;Kärl 240 l (mat-/restavfall);;kärl;XX kr;8;4;0.86;Rad innehåller taxeterm, enhet, volym eller pris.
10;TAX_NODE;2.2.1;Extrakärl 190 l (restavfall);;;XX kr;8;4;0.86;Rad innehåller taxeterm, enhet, volym eller pris.
11;TAX_NODE;2.2.2;Kärl 240 l (mat-/restavfall);;kärl;XX kr;8;4;0.86;Rad innehåller taxeterm, enhet, volym eller pris.
12;TAX_NODE;2.2.2;Extrakärl 190 l (restavfall);;;XX kr;8;4;0.86;Rad innehåller taxeterm, enhet, volym eller pris.
13;TAX_NODE;2.2.3;Gemensam uppsamlingsplats för mat-/restavfall;;;XX kr;8;4;0.86;Rad innehåller taxeterm, enhet, volym eller pris.
14;TAX_NODE;2.2.3;Extra digital licens (årskostnad);;;XX kr;8;4;0.86;Rad innehåller taxeterm, enhet, volym eller pris.
15;TAX_NODE;2.2.3;Fysisk nyckel, kallad fob (engångskostnad);;;XX kr;8;4;0.86;Rad innehåller taxeterm, enhet, volym eller pris.
16;TAX_NODE;2.2.3;Byte av telefonnummer kopplat till licens;;;XX kr;8;4;0.86;Rad innehåller taxeterm, enhet, volym eller pris.
17;TAX_NODE;2.2.3;Kostnad för öppning av behållare;;;XX kr;8;4;0.86;Rad innehåller taxeterm, enhet, volym eller pris.
18;TAX_NODE;2.2.4;Kärl 240 l (mat-/restavfall);;kärl;XX kr;8;4;0.86;Rad innehåller taxeterm, enhet, volym eller pris.
19;TAX_NODE;2.2.4;Kärl 370 l (restavfall);;kärl;XX kr;8;4;0.86;Rad innehåller taxeterm, enhet, volym eller pris.
20;TAX_NODE;2.2.4;Kärl 660 l (restavfall);;kärl;XX kr;8;4;0.86;Rad innehåller taxeterm, enhet, volym eller pris.
21;TAX_NODE;2.2.4;Kärl 140 l (matavfall);;kärl;XX kr;8;4;0.86;Rad innehåller taxeterm, enhet, volym eller pris.
22;TAX_NODE;2.2.4;Kärl 190 l (förpackningar);;kärl;XX kr;8;4;0.86;Rad innehåller taxeterm, enhet, volym eller pris.
23;TAX_NODE;2.2.4;Kärl 370 l (förpackningar);;kärl;XX kr;8;4;0.86;Rad innehåller taxeterm, enhet, volym eller pris.
24;TAX_NODE;2.2.4;Kärl 660 l (förpackningar);;kärl;XX kr;8;4;0.86;Rad innehåller taxeterm, enhet, volym eller pris.
25;TAX_NODE;2.2.4;Kärl 190 l (tidningar och returpapper);;kärl;XX kr;8;4;0.86;Rad innehåller taxeterm, enhet, volym eller pris.
26;TAX_NODE;2.2.4;Kärl 370 l (tidningar och returpapper);;kärl;XX kr;8;4;0.86;Rad innehåller taxeterm, enhet, volym eller pris.
27;TAX_NODE;2.2.4;(mat-/restavfall, förpackningar);;;XX kr;8;4;0.86;Rad innehåller taxeterm, enhet, volym eller pris.
28;TAX_NODE;2.2.5;Kärl 240 l (mat-/restavfall);;kärl;XX kr;8;4;0.86;Rad innehåller taxeterm, enhet, volym eller pris.
29;TAX_NODE;2.2.5;Kärl 370 l (restavfall);;kärl;XX kr;8;4;0.86;Rad innehåller taxeterm, enhet, volym eller pris.
30;TAX_NODE;2.2.5;Kärl 660 l (restavfall);;kärl;XX kr;8;4;0.86;Rad innehåller taxeterm, enhet, volym eller pris.
31;TAX_NODE;2.2.5;Kärl 140 l (matavfall);;kärl;XX kr;8;4;0.86;Rad innehåller taxeterm, enhet, volym eller pris.
32;TAX_NODE;2.2.5;Bottentömmande behållare (mat-/restavfall);;;XX kr;8;4;0.86;Rad innehåller taxeterm, enhet, volym eller pris.
33;TAX_NODE;2.2.5;Lastväxlarflak (restavfall);;;XX kr;8;4;0.86;Rad innehåller taxeterm, enhet, volym eller pris.
34;TAX_NODE;2.2.6;Kärl 240 l (mat-/restavfall);;kärl;XX kr;8;4;0.86;Rad innehåller taxeterm, enhet, volym eller pris.
35;TAX_NODE;2.2.6;Kärl 370 l (restavfall);;kärl;XX kr;8;4;0.86;Rad innehåller taxeterm, enhet, volym eller pris.
36;TAX_NODE;2.2.6;Kärl 660 l (restavfall);;kärl;XX kr;8;4;0.86;Rad innehåller taxeterm, enhet, volym eller pris.
37;TAX_NODE;2.2.6;Kärl 140 l (matavfall);;kärl;XX kr;8;4;0.86;Rad innehåller taxeterm, enhet, volym eller pris.
38;TAX_NODE;2.2.6;Bottentömmande behållare (mat-/restavfall);;;XX kr;8;4;0.86;Rad innehåller taxeterm, enhet, volym eller pris.
39;TAX_NODE;2.2.6;Lastväxlarflak (restavfall);;;XX kr;8;4;0.86;Rad innehåller taxeterm, enhet, volym eller pris.
40;TAX_NODE;2.2.7;Kärl 140 l (kontors-/returpapper);;kärl;XX kr;8;4;0.86;Rad innehåller taxeterm, enhet, volym eller pris.
