Status;Metod;Score;Parser paragraf;Parser taxapunkt;Parser variant;Parser enhet;Excel rad;Excel taxapunkt;Excel variant;Excel enhet;Excel taxakod;Kommentar
PROBABLE;section+tax_point;0.900;2.1;En- och tvåbostadshus;;;9;En- och tvåbostadshus;;st/år;GRUNDPER;Variant/enhet skiljer eller saknas
PROBABLE;section+tax_point;0.900;2.1;Fritidshus;;;10;Fritidshus;;st/år;GRUNDFRI;Variant/enhet skiljer eller saknas
PROBABLE;section+tax_point;0.900;2.1;Verksamhet;;;11;Verksamhet;;st/år;GRUNDLÄG;Variant/enhet skiljer eller saknas
PROBABLE;section+tax_point;0.900;2.1;Lägenhet i flerbostadshus;;lägenhet;12;Lägenhet i flerbostadshus;;st/år;GRUNDFLB;Variant/enhet skiljer eller saknas
PROBABLE;section+tax_point;0.900;2.1;Lägenhet för specialändamål;;lägenhet;13;Lägenhet för specialändamål;;st/år;;Variant/enhet skiljer eller saknas
PROBABLE;section+tax_point;0.900;2.1;Anläggning;;;14;Anläggning;;st/år;;Variant/enhet skiljer eller saknas
PROBABLE;section+tax_point;0.900;2.1;Säsongsbaserad uppställningsplats;;;15;Säsongsbaserad uppställningsplats;;st/år;;Variant/enhet skiljer eller saknas
PROBABLE;section+tax_point;0.900;2.1;Campingstuga/-lägenhet;;lägenhet;16;Campingstuga/-lägenhet;;st/år;;Variant/enhet skiljer eller saknas
NEW;no match;0.000;2.2.1;Kärl 240 l (mat-/restavfall);;kärl;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;2.2.1;Extrakärl 190 l (restavfall);;;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;2.2.2;Kärl 240 l (mat-/restavfall);;kärl;;;;;;Ny rad behövs i Arbets-Excel
PROBABLE;section+tax_point;0.900;2.2.2;Extrakärl 190 l (restavfall);;;28;Extrakärl 190 l (restavfall);Hämtning var 14:e dag;st/år;KÄ190XRM26FRI;Variant/enhet skiljer eller saknas
PROBABLE;section+tax_point;0.900;2.2.3;Gemensam uppsamlingsplats för mat-/restavfall;;;31;Gemensam uppsamlingsplats för mat-/restavfall;;st/år;GEMUPPFRI;Variant/enhet skiljer eller saknas
PROBABLE;section+tax_point;0.900;2.2.3;Extra digital licens (årskostnad);;;33;Extra digital licens (årskostnad);;st/år;;Variant/enhet skiljer eller saknas
PROBABLE;section+tax_point;0.900;2.2.3;Fysisk nyckel, kallad fob (engångskostnad);;;34;Fysisk nyckel, kallad fob (engångskostnad);;st/tillfälle;;Variant/enhet skiljer eller saknas
PROBABLE;section+tax_point;0.900;2.2.3;Byte av telefonnummer kopplat till licens;;;35;Byte av telefonnummer kopplat till licens;;st/tillfälle;;Variant/enhet skiljer eller saknas
PROBABLE;section+tax_point;0.900;2.2.3;Kostnad för öppning av behållare;;;36;Kostnad för öppning av behållare;;st/tillfälle;;Variant/enhet skiljer eller saknas
NEW;no match;0.000;2.2.4;Kärl 240 l (mat-/restavfall);;kärl;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;2.2.4;Kärl 370 l (restavfall);;kärl;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;2.2.4;Kärl 660 l (restavfall);;kärl;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;2.2.4;Kärl 140 l (matavfall);;kärl;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;2.2.4;Kärl 190 l (förpackningar);;kärl;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;2.2.4;Kärl 370 l (förpackningar);;kärl;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;2.2.4;Kärl 660 l (förpackningar);;kärl;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;2.2.4;Kärl 190 l (tidningar och returpapper);;kärl;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;2.2.4;Kärl 370 l (tidningar och returpapper);;kärl;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;2.2.4;(mat-/restavfall, förpackningar);;;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;2.2.5;Kärl 240 l (mat-/restavfall);;kärl;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;2.2.5;Kärl 370 l (restavfall);;kärl;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;2.2.5;Kärl 660 l (restavfall);;kärl;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;2.2.5;Kärl 140 l (matavfall);;kärl;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;2.2.5;Bottentömmande behållare (mat-/restavfall);;;;;;;;Ny rad behövs i Arbets-Excel
PROBABLE;section+tax_point;0.900;2.2.5;Lastväxlarflak (restavfall);;;82;Lastväxlarflak (restavfall);Avgift per tömning;st/tömning;;Variant/enhet skiljer eller saknas
NEW;no match;0.000;2.2.6;Kärl 240 l (mat-/restavfall);;kärl;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;2.2.6;Kärl 370 l (restavfall);;kärl;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;2.2.6;Kärl 660 l (restavfall);;kärl;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;2.2.6;Kärl 140 l (matavfall);;kärl;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;2.2.6;Bottentömmande behållare (mat-/restavfall);;;;;;;;Ny rad behövs i Arbets-Excel
PROBABLE;section+tax_point;0.900;2.2.6;Lastväxlarflak (restavfall);;;98;Lastväxlarflak (restavfall);Avgift per tömning;st/tömning;;Variant/enhet skiljer eller saknas
PROBABLE;section+tax_point;0.900;2.2.7;Kärl 140 l (kontors-/returpapper);;kärl;101;Kärl 140 l (kontors-/returpapper);Avgift per tömning;st/tömning;;Variant/enhet skiljer eller saknas
PROBABLE;section+tax_point;0.900;2.2.7;Egen överlämning av förbrukat kontors-/returpapper enligt anvisning;;;102;Egen överlämning av förbrukat kontors-/returpapper enligt anvisning;Avgift per tömning;st/tömning;;Variant/enhet skiljer eller saknas
PROBABLE;section+tax_point;0.900;2.2.7;Egen överlämning av förbrukat matfett enligt anvisning;;;103;Egen överlämning av förbrukat matfett enligt anvisning;Avgift per tömning;st/tömning;;Variant/enhet skiljer eller saknas
NEW;no match;0.000;2.3;Viktavgift matavfall;;;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;2.3;Viktavgift restavfall;;;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;2.3;Lyftavgift kärl;;kärl;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;2.4.1;Fakturavgift;;;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;2.4.2;Delat kärl 240 l matavfall 40 kg;;kilogram;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;2.4.2;Delat kärl 240 l restavfall 40 kg;;kilogram;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;2.4.2;Extra kärl 140 l matavfall 60 kg;;kilogram;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;2.4.2;Extra kärl 140-190 l restavfall 60 kg;;kilogram;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;2.4.2;Kärl 370 l restavfall 60 kg;;kilogram;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;2.4.2;Kärl 660 l restavfall 100 kg;;kilogram;;;;;;Ny rad behövs i Arbets-Excel
PROBABLE;section+tax_point;0.900;2.4.3;Överfullt kärl;;kärl;121;Överfullt kärl;;st/tillfälle/behållare;;Variant/enhet skiljer eller saknas
PROBABLE;section+tax_point;0.900;2.4.3;Överfull bottentömmande behållare;;;122;Överfull bottentömmande behållare;;st/tillfälle/behållare;;Variant/enhet skiljer eller saknas
PROBABLE;section+tax_point;0.900;2.4.4;Byte av trasigt kärl vid oaktsamhet;;kärl;124;Byte av trasigt kärl vid oaktsamhet;;st/kärl;;Variant/enhet skiljer eller saknas
NEW;no match;0.000;2.4.5;Byte/återtag av kärl en (1) ggr/år 140–240 liter;;liter;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;2.4.5;Byte/återtag av kärl en (1) ggr/år 370–660 liter;;liter;;;;;;Ny rad behövs i Arbets-Excel
PROBABLE;section+tax_point;0.900;2.4.5;Ytterligare byte av kärl under kalenderåret;;kärl;129;Ytterligare byte av kärl under kalenderåret;;st/kärl;;Variant/enhet skiljer eller saknas
PROBABLE;section+tax_point;0.900;2.4.6;Kärl;;kärl;131;Kärl;;st/tillfälle;FELSORT;Variant/enhet skiljer eller saknas
PROBABLE;section+tax_point;0.900;2.4.6;Bottentömmande behållare;;;132;Bottentömmande behållare;;st/tillfälle;FELSORT;Variant/enhet skiljer eller saknas
NEW;no match;0.000;2.4.7;Kärl 140-660 L 1,5-10;;kärl;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;2.4.7;Kärl 140-660 L 10-20;;kärl;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;2.4.7;Kärl 140-660 L 20-30;;kärl;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;2.4.7;Avfallsport/dörr;;;;;;;;Ny rad behövs i Arbets-Excel
PROBABLE;section+tax_point;0.900;2.4.7;Låst dörr, med kod;;;138;Låst dörr, med kod;;st/år;;Variant/enhet skiljer eller saknas
PROBABLE;section+tax_point;0.900;2.4.8;Kärl 140 l matavfall;;kärl;140;Kärl 140 l matavfall;;st/period;;Variant/enhet skiljer eller saknas
