Kategori;Avfallstyp;Enhetstyp;Faktorhint;Behållarvolym liter;Word feature count;Standard row count;Exempel Word-taxor;Exempel standardtaxor
Flerbostad/verksamhet;;;;;9;0;3.2 Dragning av extra slang vid 5-25 m | 3.2 Dragning av extra slang vid 25-35 m | 3.2 Dragning av extra slang vid 36-45 m | 3.2 Dragning av extra slang vid 46-55 m | 3.2 Krav på information om tömningstid;
Flerbostad/verksamhet;;Behållarvolym;VOLYM/BEHÅLLARE;37;1;0;3.4 Latrinbehållare 37 liter inkl. mottagning och behandling;
Flerbostad/verksamhet;;Styck;ST;;1;0;3.3 Tömning av toalettvagnar eller liknande /styck;
Flerbostad/verksamhet;;Vikt;VIKG;;1;0;3.2 Hantering av brunnslock som väger 15-25 kg;
Flerbostad/verksamhet;;Volym;VOLM;;7;0;3.1 Upp till 3 m3 | 3.1 Mellan 3 m3 och 6 m3 | 3.1 Mellan 6 m3 och 9 m3 | 3.1 Tillägg per m3 över 9 m3 | 3.1 Bad-, disk- och tvättbrunn upp till 3 m3;
Flerbostad/verksamhet;Slam;;;;1;0;3.2 Hantering av kod för kodlås vid slamtömning;
Hushåll;;;;;34;0;2.1 En- och tvåbostadshus | 2.1 Fritidshus | 2.1 Verksamhet | 2.1 Lägenhet i flerbostadshus | 2.1 Lägenhet för specialändamål;
Hushåll;;Behållarvolym;VOLYM/BEHÅLLARE;;1;0;2.4.11 Matavfallspåsar 9 L;
Hushåll;;Behållarvolym;VOLYM/BEHÅLLARE;140;1;0;2.2.7 Kärl 140 l (kontors-/returpapper);
Hushåll;;Behållarvolym;VOLYM/BEHÅLLARE;190;1;0;2.2.4 Kärl 190 l (tidningar och returpapper);
Hushåll;;Behållarvolym;VOLYM/BEHÅLLARE;22;1;0;2.4.11 Matavfallspåsar 22 L;
Hushåll;;Behållarvolym;VOLYM/BEHÅLLARE;240;1;0;2.4.5 Byte/återtag av kärl en (1) ggr/år 140–240 liter;
Hushåll;;Behållarvolym;VOLYM/BEHÅLLARE;370;1;0;2.2.4 Kärl 370 l (tidningar och returpapper);
Hushåll;;Behållarvolym;VOLYM/BEHÅLLARE;660;4;0;2.4.5 Byte/återtag av kärl en (1) ggr/år 370–660 liter | 2.4.7 Kärl 140-660 L 1,5-10 | 2.4.7 Kärl 140-660 L 10-20 | 2.4.7 Kärl 140-660 L 20-30;
Hushåll;Farligt avfall;;;;2;0;2.5.1 Farligt avfall (ej uppmärkt) | 2.5.1 Farligt avfall (uppmärkt);
Hushåll;Förpackningar;Behållarvolym;VOLYM/BEHÅLLARE;190;1;0;2.2.4 Kärl 190 l (förpackningar);
Hushåll;Förpackningar;Behållarvolym;VOLYM/BEHÅLLARE;370;1;0;2.2.4 Kärl 370 l (förpackningar);
Hushåll;Förpackningar;Behållarvolym;VOLYM/BEHÅLLARE;660;1;0;2.2.4 Kärl 660 l (förpackningar);
Hushåll;Matavfall;;;;1;0;2.3 Viktavgift matavfall;
Hushåll;Matavfall;Behållarvolym;VOLYM/BEHÅLLARE;140;4;0;2.2.4 Kärl 140 l (matavfall) | 2.2.5 Kärl 140 l (matavfall) | 2.2.6 Kärl 140 l (matavfall) | 2.4.8 Kärl 140 l matavfall;
Hushåll;Matavfall;Vikt;VIKG;140;1;0;2.4.2 Extra kärl 140 l matavfall 60 kg;
Hushåll;Matavfall;Vikt;VIKG;240;1;0;2.4.2 Delat kärl 240 l matavfall 40 kg;
