Knowledge Index Report

Status: Grupperar Word-taxor och standardtaxor inför regelbaserad matchning.
Detta ändrar inte Taxa_från_edp.

Index entries: 105
Standard rows indexed: 510
Warnings: 0

Entries:
- category=Flerbostad/verksamhet waste= unit= factor= volume= features=9 standards=0
- category=Flerbostad/verksamhet waste= unit=Behållarvolym factor=VOLYM/BEHÅLLARE volume=37 features=1 standards=0
- category=Flerbostad/verksamhet waste= unit=Styck factor=ST volume= features=1 standards=0
- category=Flerbostad/verksamhet waste= unit=Vikt factor=VIKG volume= features=1 standards=0
- category=Flerbostad/verksamhet waste= unit=Volym factor=VOLM volume= features=7 standards=0
- category=Flerbostad/verksamhet waste=Slam unit= factor= volume= features=1 standards=0
- category=Hushåll waste= unit= factor= volume= features=34 standards=0
- category=Hushåll waste= unit=Behållarvolym factor=VOLYM/BEHÅLLARE volume= features=1 standards=0
- category=Hushåll waste= unit=Behållarvolym factor=VOLYM/BEHÅLLARE volume=140 features=1 standards=0
- category=Hushåll waste= unit=Behållarvolym factor=VOLYM/BEHÅLLARE volume=190 features=1 standards=0
- category=Hushåll waste= unit=Behållarvolym factor=VOLYM/BEHÅLLARE volume=22 features=1 standards=0
- category=Hushåll waste= unit=Behållarvolym factor=VOLYM/BEHÅLLARE volume=240 features=1 standards=0
- category=Hushåll waste= unit=Behållarvolym factor=VOLYM/BEHÅLLARE volume=370 features=1 standards=0
- category=Hushåll waste= unit=Behållarvolym factor=VOLYM/BEHÅLLARE volume=660 features=4 standards=0
- category=Hushåll waste=Farligt avfall unit= factor= volume= features=2 standards=0
- category=Hushåll waste=Förpackningar unit=Behållarvolym factor=VOLYM/BEHÅLLARE volume=190 features=1 standards=0
- category=Hushåll waste=Förpackningar unit=Behållarvolym factor=VOLYM/BEHÅLLARE volume=370 features=1 standards=0
- category=Hushåll waste=Förpackningar unit=Behållarvolym factor=VOLYM/BEHÅLLARE volume=660 features=1 standards=0
- category=Hushåll waste=Matavfall unit= factor= volume= features=1 standards=0
- category=Hushåll waste=Matavfall unit=Behållarvolym factor=VOLYM/BEHÅLLARE volume=140 features=4 standards=0
- category=Hushåll waste=Matavfall unit=Vikt factor=VIKG volume=140 features=1 standards=0
- category=Hushåll waste=Matavfall unit=Vikt factor=VIKG volume=240 features=1 standards=0
- category=Hushåll waste=Restavfall unit= factor= volume= features=7 standards=0
- category=Hushåll waste=Restavfall unit=Behållarvolym factor=VOLYM/BEHÅLLARE volume=190 features=3 standards=0
- category=Hushåll waste=Restavfall unit=Behållarvolym factor=VOLYM/BEHÅLLARE volume=240 features=5 standards=0
- category=Hushåll waste=Restavfall unit=Behållarvolym factor=VOLYM/BEHÅLLARE volume=370 features=4 standards=0
- category=Hushåll waste=Restavfall unit=Behållarvolym factor=VOLYM/BEHÅLLARE volume=660 features=4 standards=0
- category=Hushåll waste=Restavfall unit=Vikt factor=VIKG volume=190 features=1 standards=0
- category=Hushåll waste=Restavfall unit=Vikt factor=VIKG volume=240 features=1 standards=0
- category=Hushåll waste=Restavfall unit=Vikt factor=VIKG volume=370 features=1 standards=0
- category=Hushåll waste=Restavfall unit=Vikt factor=VIKG volume=660 features=1 standards=0
