PersistentTaxID;SectionBoundWordTaxID;ContentFingerprint;IdentityBasis;Occurrence;Status;Word paragraf;Word taxapunkt;Word variant;Word enhet;Kommentar
PTX-397E133F8617-01;WTX-2-1-D08AE815-01;397E133F8617EC48E0D392CAE97B5FB76B3D4F33;|en-och tvåbostadshus||;1;ACTIVE;2.1;En- och tvåbostadshus;;;Persistent ID baseras på taxepunkt, variant och enhet, inte paragraf.
PTX-EFACF02248B8-01;WTX-2-1-AE5AEE6F-01;EFACF02248B84630F6778317A494B7E0F8462AEE;|fritidshus||;1;ACTIVE;2.1;Fritidshus;;;Persistent ID baseras på taxepunkt, variant och enhet, inte paragraf.
PTX-F20B0C2A349B-01;WTX-2-1-408C833E-01;F20B0C2A349B6CD7659EDB43E393A204FB0D24F4;|verksamhet||;1;ACTIVE;2.1;Verksamhet;;;Persistent ID baseras på taxepunkt, variant och enhet, inte paragraf.
PTX-52B055565672-01;WTX-2-1-E33BB1DF-01;52B055565672D305387FE267F920B5E03C55C32C;|lägenhet i flerbostadshus||lägenhet;1;ACTIVE;2.1;Lägenhet i flerbostadshus;;lägenhet;Persistent ID baseras på taxepunkt, variant och enhet, inte paragraf.
PTX-BEC99F3A3291-01;WTX-2-1-763CC347-01;BEC99F3A3291C2BB52C975AC1D088E7625D7DFB1;|lägenhet för specialändamål||lägenhet;1;ACTIVE;2.1;Lägenhet för specialändamål;;lägenhet;Persistent ID baseras på taxepunkt, variant och enhet, inte paragraf.
PTX-5FCDF6DCA60D-01;WTX-2-1-FC801460-01;5FCDF6DCA60D157579A18100FD30543444035B39;|anläggning||;1;ACTIVE;2.1;Anläggning;;;Persistent ID baseras på taxepunkt, variant och enhet, inte paragraf.
PTX-16CBA55DFFE9-01;WTX-2-1-FA7082CF-01;16CBA55DFFE9152D07AC0E48A549CADEA6B2CEA2;|säsongsbaserad uppställningsplats||;1;ACTIVE;2.1;Säsongsbaserad uppställningsplats;;;Persistent ID baseras på taxepunkt, variant och enhet, inte paragraf.
PTX-F5D1A9FC06D4-01;WTX-2-1-45915241-01;F5D1A9FC06D44F0209E8BD4D00F9FD4DED8C9688;|campingstuga/-lägenhet||lägenhet;1;ACTIVE;2.1;Campingstuga/-lägenhet;;lägenhet;Persistent ID baseras på taxepunkt, variant och enhet, inte paragraf.
PTX-B33A92C2C371-01;WTX-2-2-1-D47E8BB2-01;B33A92C2C371E00C00C629EB7E8BB4150B0757C1;|kärl 240 l (mat-/restavfall)||kärl;1;ACTIVE;2.2.1;Kärl 240 l (mat-/restavfall);;kärl;Persistent ID baseras på taxepunkt, variant och enhet, inte paragraf. Innehållsfingerprint B33A92C2C371 förekommer 5 gånger i paragraf(er): 2.2.1, 2.2.2, 2.2.4, 2.2.5, 2.2.6. Detta är inte automatiskt fel.
PTX-50FBA3330049-01;WTX-2-2-1-066AEA92-01;50FBA333004986546C0EF10E9D5010C097D73E6A;|extrakärl 190 l (restavfall)||;1;ACTIVE;2.2.1;Extrakärl 190 l (restavfall);;;Persistent ID baseras på taxepunkt, variant och enhet, inte paragraf. Innehållsfingerprint 50FBA3330049 förekommer 2 gånger i paragraf(er): 2.2.1, 2.2.2. Detta är inte automatiskt fel.
