tax_code;attribute_key;attribute_count;materials;waste_types;units;container_types;intervals;property_types;source;source_text
SLBUD7DGR;7 DAGAR;1;;;;;7 DAGAR;;RULE:Taxa_från_edp:192;Tillägg för budning inom 7 dagar Okänd KVAN SLBUD7DGR | Tillägg för budning inom 7 dagar | KVAN | Tillägg för budning inom 7 dagar | ANTL
SLBUDFOS;7 DAGAR;1;;;;;7 DAGAR;;RULE:Taxa_från_edp:133;Tillägg budad tömning inom 7 dagar, fosforfilter Okänd KVAN SLBUDFOS | Tillägg budad tömning inom 7 dagar, fosforfilter | KVAN | Tillägg budad tömning | ANTL
ASBEST;ASBEST;1;ASBEST;;;;;;RULE:Taxa_från_edp:65;Asbest max 15kg Okänd Asbest KVAN ASBEST | Asbest max 15kg | KVAN | Asbest max 15kg | KBMÖ
ASBESTEMB;ASBEST;1;ASBEST;;;;;;RULE:Taxa_från_edp:66;Asbest, emballeringskostnad vid dåligt emballage Okänd Asbest KVAN ASBESTEMB | Asbest, emballeringskostnad vid dåligt emballage | KVAN | Asbest, emballeringskostnad vid dåligt emballage | KBMÖ
;ASBEST|KG|VERKSAMHET;3;ASBEST;;KG;;;VERKSAMHET;RULE:Taxepunkter:343;Asbest, emballerad Avfallskod 17 06 01* ÅVC/verksamhetsavfall Asbest §6.1.2 | §6.1.2 | Asbest, emballerad Avfallskod 17 06 01* | 2212 | Kr/Kg |  |  |  |  |  |  | 
;ASBEST|TON|VERKSAMHET;3;ASBEST;;TON;;;VERKSAMHET;RULE:Taxepunkter:270;Isolering utan innehåll av asbest ÅVC/verksamhetsavfall Asbest Vikt VIKG §6.1.2 | §6.1.2 | Isolering utan innehåll av asbest |  | kr/ton |  |  |  |  |  |  | 
;ASBEST|TON|VERKSAMHET;3;ASBEST;;TON;;;VERKSAMHET;RULE:Taxepunkter:276;Asbest ÅVC/verksamhetsavfall Asbest Vikt VIKG §6.1.2 | §6.1.2 | Asbest |  | kr/ton |  |  |  |  |  |  | 
;ASBEST|VERKSAMHET;2;ASBEST;;;;;VERKSAMHET;RULE:Taxepunkter:360;Asbest ÅVC/verksamhetsavfall Asbest §6.1.2 | §6.1.2 | Asbest |  | kr |  |  |  |  |  |  | 
;BESÖK|VERKSAMHET;2;;;BESÖK;;;VERKSAMHET;RULE:Taxepunkter:253;Verksamheter Verksamhetsavfall §6.1.1 | §6.1.1 | Verksamheter |  | kr/besök |  |  |  |  |  |  | 
;BESÖK|VERKSAMHET;2;;;BESÖK;;;VERKSAMHET;RULE:Taxepunkter:254;Övriga abonnemangstyper Verksamhetsavfall §6.1.1 | §6.1.1 | Övriga abonnemangstyper |  | kr/besök |  |  |  |  |  |  | 
;BESÖK|VERKSAMHET;2;;;BESÖK;;;VERKSAMHET;RULE:Taxepunkter:255;Vågkort Verksamhetsavfall §6.1.1 | §6.1.1 | Vågkort |  | kr/besök |  |  |  |  |  |  | 
;BESÖK|VERKSAMHET;2;;;BESÖK;;;VERKSAMHET;RULE:Taxepunkter:256;Borttappat vågkort Verksamhetsavfall §6.1.1 | §6.1.1 | Borttappat vågkort |  | kr/besök |  |  |  |  |  |  | 
HBL;CONTAINER;1;;;;CONTAINER;;;STANDARD:Standard Avfall:463;Hyra baklastar container ÅRKV ANTB
HFL;CONTAINER;1;;;;CONTAINER;;;STANDARD:Standard Avfall:462;Hyra frontlastar container ÅRKV ANTB
HKP;CONTAINER;1;;;;CONTAINER;;;STANDARD:Standard Avfall:464;Hyra komprimator/ komprimerande container ÅRKV ANTB
HLD;CONTAINER;1;;;;CONTAINER;;;STANDARD:Standard Avfall:465;Hyra liftdumper container ÅRKV ANTB
HLDK;CONTAINER;1;;;;CONTAINER;;;STANDARD:Standard Avfall:466;Hyra liftdumper container, korttidsHyra ÅRKV ANTB
;CONTAINER|VERKSAMHET;2;;;;CONTAINER;;VERKSAMHET;RULE:Taxepunkter:363;Verksamhetsavfall §6.1.3 Hyra av container | §6.1.3 Hyra av container |  |  |  |  |  |  |  |  |  | 
NYFF1;FACK;1;;;;FACK;;;STANDARD:Standard Avfall:312;Dummytaxa, ny tjänst via ändringsorder Fyrfack 1 ÅRKV 0
NYFF2;FACK;1;;;;FACK;;;STANDARD:Standard Avfall:313;Dummytaxa, ny tjänst via ändringsorder Fyrfack 2 ÅRKV 0
;FARLIGT AVFALL;1;;FARLIGT AVFALL;;;;;RULE:Taxepunkter:173;Farligt avfall (ej uppmärkt) Hushåll Farligt avfall Tillfälle TILLFÄLLE §2.5.1 | §2.5.1 | Farligt avfall (ej uppmärkt) |  | st/tillfälle |  |  |  |  |  |  | 
