Status;Score;Metod;Parser paragraf;Parser taxapunkt;Parser variant;Parser enhet;Föreslagen strTaxekod;Föreslagen strTaxebenamning;Föreslagen strFaktor;Föreslagen strTaxedelAvser;Föreslagen strFormel;Källa;Kommentar
NO_SUGGESTION;0.119;Knowledge weighted standard match;2.1;En- och tvåbostadshus;;;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.080;Knowledge weighted standard match;2.1;Fritidshus;;;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.100;Knowledge weighted standard match;2.1;Verksamhet;;;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.095;Knowledge weighted standard match;2.1;Lägenhet i flerbostadshus;;lägenhet;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.126;Knowledge weighted standard match;2.1;Lägenhet för specialändamål;;lägenhet;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.168;Knowledge weighted standard match;2.1;Anläggning;;;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.147;Knowledge weighted standard match;2.1;Säsongsbaserad uppställningsplats;;;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.117;Knowledge weighted standard match;2.1;Campingstuga/-lägenhet;;lägenhet;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.092;Knowledge weighted standard match;2.2.1;Kärl 240 l (mat-/restavfall);;kärl;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.103;Knowledge weighted standard match;2.2.1;Extrakärl 190 l (restavfall);;;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.092;Knowledge weighted standard match;2.2.2;Kärl 240 l (mat-/restavfall);;kärl;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.103;Knowledge weighted standard match;2.2.2;Extrakärl 190 l (restavfall);;;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.135;Knowledge weighted standard match;2.2.3;Gemensam uppsamlingsplats för mat-/restavfall;;;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.117;Knowledge weighted standard match;2.2.3;Extra digital licens (årskostnad);;;;;;;;;Ingen tillräckligt stark kunskapsträff.
