Tax code;Prefix;Container type;Volume liter;Waste code;Waste type;Interval;Variant;Suffix;Family key;Confidence;Notes
A;;;;;;;A;;;0.10;Kunde inte identifiera prefix.
AF;;;;;;;AF;;;0.10;Kunde inte identifiera prefix.
AFC;;;;;;;AFC;;;0.10;Kunde inte identifiera prefix.
AKUT;;;;;;;AKUT;;;0.10;Kunde inte identifiera prefix.
AKUTSÄCK;;;;;;;AKUTSÄCK;;;0.10;Kunde inte identifiera prefix.
AMOAVISER;;;;;;;AMOAVISER;;;0.10;Kunde inte identifiera prefix.
AMOPLAN;;;;;;;AMOPLAN;;;0.10;Kunde inte identifiera prefix.
AMORÄNTA;;;;;;;AMORÄNTA;;;0.10;Kunde inte identifiera prefix.
AMOUPP;;;;;;;AMOUPP;;;0.10;Kunde inte identifiera prefix.
ANL03SL;;;;;;;;ANL03SL;;0.00;Okänd suffix: ANL03SL | Kunde inte identifiera prefix.
ANL36SL;;;;;;;;ANL36SL;;0.00;Okänd suffix: ANL36SL | Kunde inte identifiera prefix.
ANLSLBASTÖM;;;;;;;ANLSLBASTÖM;;;0.10;Kunde inte identifiera prefix.
ANLÖ6SL;;;;;;;;ANLÖ6SL;;0.00;Okänd suffix: ANLÖ6SL | Kunde inte identifiera prefix.
AOBF;;;;;;;AOBF;;;0.10;Kunde inte identifiera prefix.
AVS03FE;;;;;;;;AVS03FE;;0.00;Okänd suffix: AVS03FE | Kunde inte identifiera prefix.
AVS03FEB;;;;;;;;AVS03FEB;;0.00;Okänd suffix: AVS03FEB | Kunde inte identifiera prefix.
AVS03FEBUD;;;;;;;;AVS03FEBUD;;0.00;Okänd suffix: AVS03FEBUD | Kunde inte identifiera prefix.
AVS03FEO;;;;;;;;AVS03FEO;;0.00;Okänd suffix: AVS03FEO | Kunde inte identifiera prefix.
AVS03FEORD;;;;;;;;AVS03FEORD;;0.00;Okänd suffix: AVS03FEORD | Kunde inte identifiera prefix.
AVS03SL;;;;;;;;AVS03SL;;0.00;Okänd suffix: AVS03SL | Kunde inte identifiera prefix.
AVS03SLB;;;;;;;;AVS03SLB;;0.00;Okänd suffix: AVS03SLB | Kunde inte identifiera prefix.
AVS03SLBUD;;;;;;;;AVS03SLBUD;;0.00;Okänd suffix: AVS03SLBUD | Kunde inte identifiera prefix.
AVS03SLO;;;;;;;;AVS03SLO;;0.00;Okänd suffix: AVS03SLO | Kunde inte identifiera prefix.
AVS03SLORD;;;;;;;;AVS03SLORD;;0.00;Okänd suffix: AVS03SLORD | Kunde inte identifiera prefix.
AVS36FE;;;;;;;;AVS36FE;;0.00;Okänd suffix: AVS36FE | Kunde inte identifiera prefix.
AVS36FEB;;;;;;;;AVS36FEB;;0.00;Okänd suffix: AVS36FEB | Kunde inte identifiera prefix.
AVS36FEBUD;;;;;;;;AVS36FEBUD;;0.00;Okänd suffix: AVS36FEBUD | Kunde inte identifiera prefix.
