Tax Decision Report

Priority:
1. Bekräftad kommun-EDP / Taxa_från_edp
2. Word-taxa
3. Standardtaxor endast som förslag
4. Manuell granskning

Total: 241
EDP_MATCH: 7
STANDARD_PROPOSAL: 0
REVIEW_REQUIRED: 86
NEW_TAXA: 148

Details:
- EDP_MATCH | 2.1 | En- och tvåbostadshus | source=Taxepunkter/Taxa_från_edp rule=Befintlig Taxakod i Taxepunkter behålls via paragraf+taxapunkt edp=GRUNDSMÅ standard= | Variant/enhet skiljer eller saknas men kommun-EDP behålls.
- EDP_MATCH | 2.1 | Fritidshus | source=Taxepunkter/Taxa_från_edp rule=Befintlig Taxakod i Taxepunkter behålls via paragraf+taxapunkt edp=GRUNDFRI standard= | Variant/enhet skiljer eller saknas men kommun-EDP behålls.
- EDP_MATCH | 2.1 | Verksamhet | source=Taxepunkter/Taxa_från_edp rule=Befintlig Taxakod i Taxepunkter behålls via paragraf+taxapunkt edp=GRUNDVHT standard= | Variant/enhet skiljer eller saknas men kommun-EDP behålls.
- EDP_MATCH | 2.1 | Lägenhet i flerbostadshus | source=Taxepunkter/Taxa_från_edp rule=Befintlig Taxakod i Taxepunkter behålls via paragraf+taxapunkt edp=GRUNDFLB standard= | Variant/enhet skiljer eller saknas men kommun-EDP behålls.
- REVIEW_REQUIRED | 2.1 | Lägenhet för specialändamål | source=Taxepunkter rule=Rad finns men saknar Taxakod edp= standard= | Taxa finns som rad. EDP-koppling saknas.
- REVIEW_REQUIRED | 2.1 | Anläggning | source=Taxepunkter rule=Rad finns men saknar Taxakod edp= standard= | Taxa finns som rad. EDP-koppling saknas.
- REVIEW_REQUIRED | 2.1 | Säsongsbaserad uppställningsplats | source=Taxepunkter rule=Rad finns men saknar Taxakod edp= standard= | Taxa finns som rad. EDP-koppling saknas.
- REVIEW_REQUIRED | 2.1 | Campingstuga/-lägenhet | source=Taxepunkter rule=Rad finns men saknar Taxakod edp= standard= | Taxa finns som rad. EDP-koppling saknas.
- NEW_TAXA | 2.2.1 | Kärl 240 l (mat-/restavfall) | source=Word rule=Word-taxa saknar EDP-match och standardförslag edp= standard= | Skapa/hantera som ny taxa eller manuell granskning.
- NEW_TAXA | 2.2.1 | Extrakärl 190 l (restavfall) | source=Word rule=Word-taxa saknar EDP-match och standardförslag edp= standard= | Skapa/hantera som ny taxa eller manuell granskning.
- NEW_TAXA | 2.2.2 | Kärl 240 l (mat-/restavfall) | source=Word rule=Word-taxa saknar EDP-match och standardförslag edp= standard= | Skapa/hantera som ny taxa eller manuell granskning.
- REVIEW_REQUIRED | 2.2.2 | Extrakärl 190 l (restavfall) | source=Taxepunkter rule=Rad finns men saknar Taxakod edp= standard= | Taxa finns som rad. EDP-koppling saknas.
- EDP_MATCH | 2.2.3 | Gemensam uppsamlingsplats för mat-/restavfall | source=Taxepunkter/Taxa_från_edp rule=Befintlig Taxakod i Taxepunkter behålls via paragraf+taxapunkt edp=GEMUPPFRI standard= | Variant/enhet skiljer eller saknas men kommun-EDP behålls.
- EDP_MATCH | 2.2.3 | Extra digital licens (årskostnad) | source=Taxepunkter/Taxa_från_edp rule=Befintlig Taxakod i Taxepunkter behålls via paragraf+taxapunkt edp=GEMUPPEXTRAFRI standard= | Variant/enhet skiljer eller saknas men kommun-EDP behålls.
