Status;Source;Rule;Confidence;Paragraf;Taxapunkt;Variant;Enhet;Excel rad;EDP taxakod;Standard taxakod;Kommentar
EDP_MATCH;Taxepunkter/Taxa_från_edp;Befintlig Taxakod i Taxepunkter behålls via paragraf+taxapunkt;0.900;2.1;En- och tvåbostadshus;;;7;GRUNDSMÅ;;Variant/enhet skiljer eller saknas men kommun-EDP behålls.
EDP_MATCH;Taxepunkter/Taxa_från_edp;Befintlig Taxakod i Taxepunkter behålls via paragraf+taxapunkt;0.900;2.1;Fritidshus;;;8;GRUNDFRI;;Variant/enhet skiljer eller saknas men kommun-EDP behålls.
EDP_MATCH;Taxepunkter/Taxa_från_edp;Befintlig Taxakod i Taxepunkter behålls via paragraf+taxapunkt;0.900;2.1;Verksamhet;;;9;GRUNDVHT;;Variant/enhet skiljer eller saknas men kommun-EDP behålls.
EDP_MATCH;Taxepunkter/Taxa_från_edp;Befintlig Taxakod i Taxepunkter behålls via paragraf+taxapunkt;0.900;2.1;Lägenhet i flerbostadshus;;lägenhet;10;GRUNDFLB;;Variant/enhet skiljer eller saknas men kommun-EDP behålls.
REVIEW_REQUIRED;Taxepunkter;Rad finns men saknar Taxakod;0.750;2.1;Lägenhet för specialändamål;;lägenhet;11;;;Taxa finns som rad. EDP-koppling saknas.
REVIEW_REQUIRED;Taxepunkter;Rad finns men saknar Taxakod;0.750;2.1;Anläggning;;;12;;;Taxa finns som rad. EDP-koppling saknas.
REVIEW_REQUIRED;Taxepunkter;Rad finns men saknar Taxakod;0.750;2.1;Säsongsbaserad uppställningsplats;;;13;;;Taxa finns som rad. EDP-koppling saknas.
REVIEW_REQUIRED;Taxepunkter;Rad finns men saknar Taxakod;0.750;2.1;Campingstuga/-lägenhet;;lägenhet;14;;;Taxa finns som rad. EDP-koppling saknas.
NEW_TAXA;Word;Word-taxa saknar EDP-match och standardförslag;0.000;2.2.1;Kärl 240 l (mat-/restavfall);;kärl;;;;Skapa/hantera som ny taxa eller manuell granskning.
NEW_TAXA;Word;Word-taxa saknar EDP-match och standardförslag;0.000;2.2.1;Extrakärl 190 l (restavfall);;;;;;Skapa/hantera som ny taxa eller manuell granskning.
NEW_TAXA;Word;Word-taxa saknar EDP-match och standardförslag;0.000;2.2.2;Kärl 240 l (mat-/restavfall);;kärl;;;;Skapa/hantera som ny taxa eller manuell granskning.
REVIEW_REQUIRED;Taxepunkter;Rad finns men saknar Taxakod;0.750;2.2.2;Extrakärl 190 l (restavfall);;;27;;;Taxa finns som rad. EDP-koppling saknas.
EDP_MATCH;Taxepunkter/Taxa_från_edp;Befintlig Taxakod i Taxepunkter behålls via paragraf+taxapunkt;0.900;2.2.3;Gemensam uppsamlingsplats för mat-/restavfall;;;32;GEMUPPFRI;;Variant/enhet skiljer eller saknas men kommun-EDP behålls.
EDP_MATCH;Taxepunkter/Taxa_från_edp;Befintlig Taxakod i Taxepunkter behålls via paragraf+taxapunkt;0.900;2.2.3;Extra digital licens (årskostnad);;;34;GEMUPPEXTRAFRI;;Variant/enhet skiljer eller saknas men kommun-EDP behålls.
EDP_MATCH;Taxepunkter/Taxa_från_edp;Befintlig Taxakod i Taxepunkter behålls via paragraf+taxapunkt;0.900;2.2.3;Fysisk nyckel, kallad fob (engångskostnad);;;35;FOBFRI;;Variant/enhet skiljer eller saknas men kommun-EDP behålls.
