Tax Decision Report

Priority:
1. Bekräftad kommun-EDP / Taxa_från_edp
2. Word-taxa
3. Standardtaxor endast som förslag
4. Manuell granskning

Total: 241
EDP_MATCH: 0
STANDARD_PROPOSAL: 0
REVIEW_REQUIRED: 113
NEW_TAXA: 128

Details:
- REVIEW_REQUIRED | 2.1 | En- och tvåbostadshus | source=Taxepunkter rule=Bästa semantiska kandidat saknar taxekod edp= standard= | Kandidaten kan ge beslutsstöd men saknar taxekod. Kandidat=RULE:TAXEPUNKT  score=0.79 justerad=0.83. Matchar category: Hushåll, waste_type: Restavfall, container_type: Kärl, container_volume_liter: 240, unit_type: Behållarvolym, factor_hint: VOLYM/BEHÅLLARE. Skillnader service_type: Word='' kandidat='Hämtning/tömning', property_type: Word='Flerbostadshus' kandidat=''
- REVIEW_REQUIRED | 2.1 | Fritidshus | source=Taxepunkter rule=Semantiska toppkandidater ligger för nära varandra edp= standard= | Manuell granskning krävs på grund av liten skillnad mellan kandidater. Kandidat=RULE:TAXEPUNKT KÄ190XRM26 score=0.86 justerad=0.91. Matchar category: Hushåll, waste_type: Restavfall, service_type: Extra, container_type: Kärl, container_volume_liter: 190, unit_type: Behållarvolym. Skillnader property_type: Word='Flerbostadshus' kandidat=''
- REVIEW_REQUIRED | 2.1 | Verksamhet | source=Taxepunkter rule=Bästa semantiska kandidat saknar taxekod edp= standard= | Kandidaten kan ge beslutsstöd men saknar taxekod. Kandidat=RULE:TAXEPUNKT  score=0.79 justerad=0.83. Matchar category: Hushåll, waste_type: Restavfall, container_type: Kärl, container_volume_liter: 240, unit_type: Behållarvolym, factor_hint: VOLYM/BEHÅLLARE. Skillnader service_type: Word='' kandidat='Hämtning/tömning', property_type: Word='Flerbostadshus' kandidat=''
- REVIEW_REQUIRED | 2.1 | Lägenhet i flerbostadshus | source=Taxepunkter rule=Semantiska toppkandidater ligger för nära varandra edp= standard= | Manuell granskning krävs på grund av liten skillnad mellan kandidater. Kandidat=RULE:TAXEPUNKT KÄ190XRM26 score=0.86 justerad=0.91. Matchar category: Hushåll, waste_type: Restavfall, service_type: Extra, container_type: Kärl, container_volume_liter: 190, unit_type: Behållarvolym. Skillnader property_type: Word='Flerbostadshus' kandidat=''
- NEW_TAXA | 2.1 | Lägenhet för specialändamål | source=SemanticDecisionEngine rule=Ingen kandidat över granskningsgräns edp= standard= | Bästa kandidat var för svag. Kandidat=RULE:TAXEPUNKT KÄ240RM26 score=0.50 justerad=0.55. Matchar category: Hushåll, waste_type: Restavfall. Skillnader service_type: Word='' kandidat='Hämtning/tömning', container_type: Word='' kandidat='Kärl', container_volume_liter: Word='' kandidat='240', property_type: Word='Flerbostadshus' kandidat=''
- NEW_TAXA | 2.1 | Anläggning | source=SemanticDecisionEngine rule=Ingen kandidat över granskningsgräns edp= standard= | Bästa kandidat var för svag. Kandidat=RULE:TAXEPUNKT KÄ190XRM26 score=0.34 justerad=0.39. Matchar category: Hushåll, service_type: Extra. Skillnader waste_type: Word='Träavfall' kandidat='Restavfall', container_type: Word='' kandidat='Kärl', container_volume_liter: Word='' kandidat='190', property_type: Word='Flerbostadshus' kandidat=''
- NEW_TAXA | 2.1 | Säsongsbaserad uppställningsplats | source=SemanticDecisionEngine rule=Ingen kandidat över granskningsgräns edp= standard= | Bästa kandidat var för svag. Kandidat=RULE:TAXEPUNKT KÄ240RM26 score=0.32 justerad=0.37. Matchar category: Hushåll. Skillnader waste_type: Word='' kandidat='Restavfall', service_type: Word='' kandidat='Hämtning/tömning', container_type: Word='' kandidat='Kärl', container_volume_liter: Word='' kandidat='240'
- REVIEW_REQUIRED | 2.1 | Campingstuga/-lägenhet | source=Taxepunkter rule=Bästa semantiska kandidat saknar taxekod edp= standard= | Kandidaten kan ge beslutsstöd men saknar taxekod. Kandidat=RULE:TAXEPUNKT  score=0.34 justerad=0.39. Matchar category: Hushåll, service_type: Byte. Skillnader container_type: Word='' kandidat='Kärl', container_volume_liter: Word='' kandidat='240', property_type: Word='Flerbostadshus' kandidat='', unit_type: Word='' kandidat='Behållarvolym'
- REVIEW_REQUIRED | 2.2.1 | Kärl 240 l (mat-/restavfall) | source=Taxepunkter rule=Bästa semantiska kandidat saknar taxekod edp= standard= | Kandidaten kan ge beslutsstöd men saknar taxekod. Kandidat=RULE:TAXEPUNKT  score=0.36 justerad=0.41. Matchar category: Hushåll, service_type: Abonnemang, property_type: Flerbostadshus. Skillnader waste_type: Word='' kandidat='Restavfall'
- REVIEW_REQUIRED | 2.2.1 | Extrakärl 190 l (restavfall) | source=Taxepunkter rule=Bästa semantiska kandidat saknar taxekod edp= standard= | Kandidaten kan ge beslutsstöd men saknar taxekod. Kandidat=RULE:TAXEPUNKT  score=0.79 justerad=0.83. Matchar category: Hushåll, waste_type: Restavfall, container_type: Kärl, container_volume_liter: 240, unit_type: Behållarvolym, factor_hint: VOLYM/BEHÅLLARE. Skillnader service_type: Word='' kandidat='Hämtning/tömning', property_type: Word='Flerbostadshus' kandidat=''
- REVIEW_REQUIRED | 2.2.2 | Kärl 240 l (mat-/restavfall) | source=Taxepunkter rule=Bästa semantiska kandidat saknar taxekod edp= standard= | Kandidaten kan ge beslutsstöd men saknar taxekod. Kandidat=RULE:TAXEPUNKT  score=0.79 justerad=0.83. Matchar category: Hushåll, waste_type: Restavfall, container_type: Kärl, container_volume_liter: 370, unit_type: Behållarvolym, factor_hint: VOLYM/BEHÅLLARE. Skillnader service_type: Word='' kandidat='Hämtning/tömning', property_type: Word='Flerbostadshus' kandidat=''
- REVIEW_REQUIRED | 2.2.2 | Extrakärl 190 l (restavfall) | source=Taxepunkter rule=Bästa semantiska kandidat saknar taxekod edp= standard= | Kandidaten kan ge beslutsstöd men saknar taxekod. Kandidat=RULE:TAXEPUNKT  score=0.79 justerad=0.83. Matchar category: Hushåll, waste_type: Restavfall, container_type: Kärl, container_volume_liter: 660, unit_type: Behållarvolym, factor_hint: VOLYM/BEHÅLLARE. Skillnader service_type: Word='' kandidat='Hämtning/tömning', property_type: Word='Flerbostadshus' kandidat=''
- REVIEW_REQUIRED | 2.2.3 | Gemensam uppsamlingsplats för mat-/restavfall | source=Taxepunkter rule=Bästa semantiska kandidat saknar taxekod edp= standard= | Kandidaten kan ge beslutsstöd men saknar taxekod. Kandidat=RULE:TAXEPUNKT  score=0.79 justerad=0.83. Matchar category: Hushåll, waste_type: Matavfall, container_type: Kärl, container_volume_liter: 140, unit_type: Behållarvolym, factor_hint: VOLYM/BEHÅLLARE. Skillnader service_type: Word='' kandidat='Hämtning/tömning', property_type: Word='Flerbostadshus' kandidat=''
- REVIEW_REQUIRED | 2.2.3 | Extra digital licens (årskostnad) | source=Taxepunkter rule=Bästa semantiska kandidat saknar taxekod edp= standard= | Kandidaten kan ge beslutsstöd men saknar taxekod. Kandidat=RULE:TAXEPUNKT  score=0.76 justerad=0.81. Matchar category: Hushåll, waste_type: Förpackningar, container_type: Kärl, container_volume_liter: 190, unit_type: Behållarvolym, factor_hint: VOLYM/BEHÅLLARE. Skillnader service_type: Word='Abonnemang' kandidat='Hämtning/tömning', property_type: Word='Flerbostadshus' kandidat=''
- REVIEW_REQUIRED | 2.2.3 | Fysisk nyckel, kallad fob (engångskostnad) | source=Taxepunkter rule=Bästa semantiska kandidat saknar taxekod edp= standard= | Kandidaten kan ge beslutsstöd men saknar taxekod. Kandidat=RULE:TAXEPUNKT  score=0.76 justerad=0.81. Matchar category: Hushåll, waste_type: Förpackningar, container_type: Kärl, container_volume_liter: 370, unit_type: Behållarvolym, factor_hint: VOLYM/BEHÅLLARE. Skillnader service_type: Word='Abonnemang' kandidat='Hämtning/tömning', property_type: Word='Flerbostadshus' kandidat=''
- REVIEW_REQUIRED | 2.2.3 | Byte av telefonnummer kopplat till licens | source=Taxepunkter rule=Bästa semantiska kandidat saknar taxekod edp= standard= | Kandidaten kan ge beslutsstöd men saknar taxekod. Kandidat=RULE:TAXEPUNKT  score=0.76 justerad=0.81. Matchar category: Hushåll, waste_type: Förpackningar, container_type: Kärl, container_volume_liter: 660, unit_type: Behållarvolym, factor_hint: VOLYM/BEHÅLLARE. Skillnader service_type: Word='Abonnemang' kandidat='Hämtning/tömning', property_type: Word='Flerbostadshus' kandidat=''
- NEW_TAXA | 2.2.3 | Kostnad för öppning av behållare | source=SemanticDecisionEngine rule=Ingen kandidat över granskningsgräns edp= standard= | Bästa kandidat var för svag. Kandidat=RULE:TAXEPUNKT KÄ190XRM26 score=0.58 justerad=0.63. Matchar category: Hushåll, container_type: Kärl, container_volume_liter: 190, unit_type: Behållarvolym, factor_hint: VOLYM/BEHÅLLARE. Skillnader waste_type: Word='' kandidat='Restavfall', service_type: Word='Abonnemang' kandidat='Extra', property_type: Word='Flerbostadshus' kandidat=''
- REVIEW_REQUIRED | 2.2.4 | Kärl 240 l (mat-/restavfall) | source=Taxepunkter rule=Bästa semantiska kandidat saknar taxekod edp= standard= | Kandidaten kan ge beslutsstöd men saknar taxekod. Kandidat=RULE:TAXEPUNKT  score=0.62 justerad=0.67. Matchar category: Hushåll, service_type: Abonnemang, container_type: Kärl, container_volume_liter: 370, unit_type: Behållarvolym, factor_hint: VOLYM/BEHÅLLARE. Skillnader property_type: Word='Flerbostadshus' kandidat=''
- REVIEW_REQUIRED | 2.2.4 | Kärl 370 l (restavfall) | source=Taxepunkter rule=Bästa semantiska kandidat saknar taxekod edp= standard= | Kandidaten kan ge beslutsstöd men saknar taxekod. Kandidat=RULE:TAXEPUNKT  score=0.54 justerad=0.59. Matchar category: Hushåll, waste_type: Restavfall, service_type: Abonnemang, property_type: Flerbostadshus
