Status;Source;Rule;Confidence;Paragraf;Taxapunkt;Variant;Enhet;Excel rad;EDP taxakod;Standard taxakod;Kommentar
NEW_TAXA;SemanticDecisionEngine;Ingen kandidat över granskningsgräns;0.370;2.1;En- och tvåbostadshus;;;;;;Bästa kandidat var för svag. Kandidat=RULE:TAXEPUNKT KÄ240RM26 score=0.32 justerad=0.37. Matchar category: Hushåll. Skillnader waste_type: Word='' kandidat='Restavfall', service_type: Word='' kandidat='Hämtning/tömning', container_type: Word='' kandidat='Kärl', container_volume_liter: Word='' kandidat='240'
NEW_TAXA;SemanticDecisionEngine;Ingen kandidat över granskningsgräns;0.370;2.1;Fritidshus;;;;;;Bästa kandidat var för svag. Kandidat=RULE:TAXEPUNKT KÄ240RM26 score=0.32 justerad=0.37. Matchar category: Hushåll. Skillnader waste_type: Word='' kandidat='Restavfall', service_type: Word='' kandidat='Hämtning/tömning', container_type: Word='' kandidat='Kärl', container_volume_liter: Word='' kandidat='240'
NEW_TAXA;SemanticDecisionEngine;Ingen kandidat över granskningsgräns;0.370;2.1;Verksamhet;;;;;;Bästa kandidat var för svag. Kandidat=RULE:TAXEPUNKT KÄ240RM26 score=0.32 justerad=0.37. Matchar category: Hushåll. Skillnader waste_type: Word='' kandidat='Restavfall', service_type: Word='' kandidat='Hämtning/tömning', container_type: Word='' kandidat='Kärl', container_volume_liter: Word='' kandidat='240'
NEW_TAXA;SemanticDecisionEngine;Ingen kandidat över granskningsgräns;0.370;2.1;Lägenhet i flerbostadshus;;lägenhet;;;;Bästa kandidat var för svag. Kandidat=RULE:TAXEPUNKT KÄ240RM26 score=0.32 justerad=0.37. Matchar category: Hushåll. Skillnader waste_type: Word='' kandidat='Restavfall', service_type: Word='' kandidat='Hämtning/tömning', container_type: Word='' kandidat='Kärl', container_volume_liter: Word='' kandidat='240'
NEW_TAXA;SemanticDecisionEngine;Ingen kandidat över granskningsgräns;0.370;2.1;Lägenhet för specialändamål;;lägenhet;;;;Bästa kandidat var för svag. Kandidat=RULE:TAXEPUNKT KÄ240RM26 score=0.32 justerad=0.37. Matchar category: Hushåll. Skillnader waste_type: Word='' kandidat='Restavfall', service_type: Word='' kandidat='Hämtning/tömning', container_type: Word='' kandidat='Kärl', container_volume_liter: Word='' kandidat='240'
NEW_TAXA;SemanticDecisionEngine;Ingen kandidat över granskningsgräns;0.370;2.1;Anläggning;;;;;;Bästa kandidat var för svag. Kandidat=RULE:TAXEPUNKT KÄ240RM26 score=0.32 justerad=0.37. Matchar category: Hushåll. Skillnader waste_type: Word='' kandidat='Restavfall', service_type: Word='' kandidat='Hämtning/tömning', container_type: Word='' kandidat='Kärl', container_volume_liter: Word='' kandidat='240'
NEW_TAXA;SemanticDecisionEngine;Ingen kandidat över granskningsgräns;0.370;2.1;Säsongsbaserad uppställningsplats;;;;;;Bästa kandidat var för svag. Kandidat=RULE:TAXEPUNKT KÄ240RM26 score=0.32 justerad=0.37. Matchar category: Hushåll. Skillnader waste_type: Word='' kandidat='Restavfall', service_type: Word='' kandidat='Hämtning/tömning', container_type: Word='' kandidat='Kärl', container_volume_liter: Word='' kandidat='240'
NEW_TAXA;SemanticDecisionEngine;Ingen kandidat över granskningsgräns;0.370;2.1;Campingstuga/-lägenhet;;lägenhet;;;;Bästa kandidat var för svag. Kandidat=RULE:TAXEPUNKT KÄ240RM26 score=0.32 justerad=0.37. Matchar category: Hushåll. Skillnader waste_type: Word='' kandidat='Restavfall', service_type: Word='' kandidat='Hämtning/tömning', container_type: Word='' kandidat='Kärl', container_volume_liter: Word='' kandidat='240'
REVIEW_REQUIRED;Taxepunkter;Semantisk kandidat finns men säkerheten räcker inte för förslag;0.835;2.2.1;Kärl 240 l (mat-/restavfall);;kärl;;;;Granska kandidat manuellt. Kandidat=RULE:TAXEPUNKT KÄ240RM26 score=0.79 justerad=0.83. Matchar category: Hushåll, waste_type: Restavfall, container_type: Kärl, container_volume_liter: 240, unit_type: Behållarvolym, factor_hint: VOLYM/BEHÅLLARE. Skillnader service_type: Word='' kandidat='Hämtning/tömning'
REVIEW_REQUIRED;Taxepunkter;Semantiska toppkandidater ligger för nära varandra;0.910;2.2.1;Extrakärl 190 l (restavfall);;;;;;Manuell granskning krävs på grund av liten skillnad mellan kandidater. Kandidat=RULE:TAXEPUNKT KÄ190XRM26 score=0.86 justerad=0.91. Matchar category: Hushåll, waste_type: Restavfall, service_type: Extra, container_type: Kärl, container_volume_liter: 190, unit_type: Behållarvolym
REVIEW_REQUIRED;Taxepunkter;Semantisk kandidat finns men säkerheten räcker inte för förslag;0.835;2.2.2;Kärl 240 l (mat-/restavfall);;kärl;;;;Granska kandidat manuellt. Kandidat=RULE:TAXEPUNKT KÄ240RM26 score=0.79 justerad=0.83. Matchar category: Hushåll, waste_type: Restavfall, container_type: Kärl, container_volume_liter: 240, unit_type: Behållarvolym, factor_hint: VOLYM/BEHÅLLARE. Skillnader service_type: Word='' kandidat='Hämtning/tömning'
REVIEW_REQUIRED;Taxepunkter;Semantiska toppkandidater ligger för nära varandra;0.910;2.2.2;Extrakärl 190 l (restavfall);;;;;;Manuell granskning krävs på grund av liten skillnad mellan kandidater. Kandidat=RULE:TAXEPUNKT KÄ190XRM26 score=0.86 justerad=0.91. Matchar category: Hushåll, waste_type: Restavfall, service_type: Extra, container_type: Kärl, container_volume_liter: 190, unit_type: Behållarvolym
NEW_TAXA;SemanticDecisionEngine;Ingen kandidat över granskningsgräns;0.550;2.2.3;Gemensam uppsamlingsplats för mat-/restavfall;;;;;;Bästa kandidat var för svag. Kandidat=RULE:TAXEPUNKT KÄ240RM26 score=0.50 justerad=0.55. Matchar category: Hushåll, waste_type: Restavfall. Skillnader service_type: Word='' kandidat='Hämtning/tömning', container_type: Word='' kandidat='Kärl', container_volume_liter: Word='' kandidat='240', unit_type: Word='' kandidat='Behållarvolym'
