family_code;tax_code;prefix;volume_liter;waste_code;interval;variant;source;confidence;notes
140MA;140MAT;;140;MA;;T;STANDARD+RULES;0.5;Kunde inte identifiera prefix.
370RE;370REST;;370;RE;;ST;STANDARD+RULES;0.5;Kunde inte identifiera prefix.
660RE;660REST;;660;RE;;ST;STANDARD+RULES;0.5;Kunde inte identifiera prefix.
ASB;ASBEST;;;ASB;;EST;STANDARD+RULES;0.3;Kunde inte identifiera prefix.
ASB;ASBESTEMB;;;ASB;;ESTEMB;STANDARD+RULES;0.3;Kunde inte identifiera prefix.
CON;CONTAINERMA;CON;;;;TAINERMA;STANDARD+RULES;0.5;
CON;CONTAINERRE;CON;;;;TAINERRE;STANDARD+RULES;0.5;
FA;FARLIGTAVFALL;FA;;;;RLIGTAVFALL;STANDARD+RULES;0.5;
FA;FARLIGTBUD;FA;;;;RLIGTBUD;STANDARD+RULES;0.5;
FA;FASTFE;FA;;;;STFE;STANDARD+RULES;0.5;
FA;FASTFLB;FA;;;;STFLB;STANDARD+RULES;0.5;
FA;FASTFRI;FA;;;;STFRI;STANDARD+RULES;0.5;
FA;FASTOLJEAVFALL;FA;;;;STOLJEAVFALL;STANDARD+RULES;0.5;
FA;FASTSL;FA;;;;STSL;STANDARD+RULES;0.5;
FA;FASTSMÅ;FA;;;;STSMÅ;STANDARD+RULES;0.5;
FA;FASTSODA;FA;;;;STSODA;STANDARD+RULES;0.5;
FA;FASTVHT;FA;;;;STVHT;STANDARD+RULES;0.5;
KÄ;KÄEXTORD;KÄ;;;;EX;STANDARD+RULES;0.45;Okänd suffix: TORD | Kärlkod saknar identifierad volym.
KÄ;KÄLABUD;KÄ;;;;LABUD;STANDARD+RULES;0.5;Kärlkod saknar identifierad volym.
KÄ;KÄLAEXTORD;KÄ;;;;LAEXTORD;STANDARD+RULES;0.5;Kärlkod saknar identifierad volym.
KÄ;KÄOSBUD;KÄ;;;;OSBUD;STANDARD+RULES;0.5;Kärlkod saknar identifierad volym.
KÄ;KÄRLBYTE240;KÄ;;;;;STANDARD+RULES;0.4;Okänd suffix: RLBYTE240 | Kärlkod saknar identifierad volym.
KÄ;KÄRLBYTE660;KÄ;;;;;STANDARD+RULES;0.4;Okänd suffix: RLBYTE660 | Kärlkod saknar identifierad volym.
KÄ;KÄRLBYTEFLER;KÄ;;;;RLBYTEFLER;STANDARD+RULES;0.5;Kärlkod saknar identifierad volym.
KÄ;KÄRLTVÄTT;KÄ;;;;RLTVÄTT;STANDARD+RULES;0.5;Kärlkod saknar identifierad volym.
KÄ140;KÄ140OS104;KÄ;140;;;;STANDARD+RULES;0.6000000000000001;Okänd suffix: OS104
KÄ140;KÄ140OS11S;KÄ;140;;;;STANDARD+RULES;0.6000000000000001;Okänd suffix: OS11S
KÄ140;KÄ140OS13;KÄ;140;;;;STANDARD+RULES;0.6000000000000001;Okänd suffix: OS13
KÄ140;KÄ140OS156;KÄ;140;;;;STANDARD+RULES;0.6000000000000001;Okänd suffix: OS156
KÄ140;KÄ140OS22S;KÄ;140;;;;STANDARD+RULES;0.6000000000000001;Okänd suffix: OS22S
KÄ140;KÄ140OS26;KÄ;140;;;;STANDARD+RULES;0.6000000000000001;Okänd suffix: OS26
KÄ140;KÄ140OS44S;KÄ;140;;;;STANDARD+RULES;0.6000000000000001;Okänd suffix: OS44S
KÄ140;KÄ140OS52;KÄ;140;;;;STANDARD+RULES;0.6000000000000001;Okänd suffix: OS52
KÄ140;KÄ140OS6S;KÄ;140;;;;STANDARD+RULES;0.6000000000000001;Okänd suffix: OS6S
KÄ140MA;KÄ140MA104;KÄ;140;MA;104;;STANDARD+RULES;0.9500000000000001;
KÄ140MA;KÄ140MA11S;KÄ;140;MA;11;S;STANDARD+RULES;1.0;
KÄ140MA;KÄ140MA12DH;KÄ;140;MA;12;DH;STANDARD+RULES;1.0;
KÄ140MA;KÄ140MA12FV;KÄ;140;MA;12;FV;STANDARD+RULES;1.0;
KÄ140MA;KÄ140MA13;KÄ;140;MA;13;;STANDARD+RULES;0.9500000000000001;
