Paragraf;Taxapunkt;Variant;Enhet;Section group;Kategori;Avfallstyp;Enhetstyp;Behållarvolym liter;Faktorhint;Confidence;Keywords;Notes
2.1;En- och tvåbostadshus;;;2.1;Hushåll;;;;;0.50;en-och, tvåbostadshus;Faktor kunde inte härledas från enhet/text. | Avfallstyp kunde inte härledas.
2.1;Fritidshus;;;2.1;Hushåll;;;;;0.50;fritidshus;Faktor kunde inte härledas från enhet/text. | Avfallstyp kunde inte härledas.
2.1;Verksamhet;;;2.1;Hushåll;;;;;0.50;verksamhet;Faktor kunde inte härledas från enhet/text. | Avfallstyp kunde inte härledas.
2.1;Lägenhet i flerbostadshus;;lägenhet;2.1;Hushåll;;;;;0.50;flerbostadshus, lägenhet;Faktor kunde inte härledas från enhet/text. | Avfallstyp kunde inte härledas.
2.1;Lägenhet för specialändamål;;lägenhet;2.1;Hushåll;;;;;0.50;lägenhet, specialändamål;Faktor kunde inte härledas från enhet/text. | Avfallstyp kunde inte härledas.
2.1;Anläggning;;;2.1;Hushåll;;;;;0.50;anläggning;Faktor kunde inte härledas från enhet/text. | Avfallstyp kunde inte härledas.
2.1;Säsongsbaserad uppställningsplats;;;2.1;Hushåll;;;;;0.50;säsongsbaserad, uppställningsplats;Faktor kunde inte härledas från enhet/text. | Avfallstyp kunde inte härledas.
2.1;Campingstuga/-lägenhet;;lägenhet;2.1;Hushåll;;;;;0.50;-lägenhet, campingstuga, lägenhet;Faktor kunde inte härledas från enhet/text. | Avfallstyp kunde inte härledas.
2.2.1;Kärl 240 l (mat-/restavfall);;kärl;2.2;Hushåll;Restavfall;Behållarvolym;240;VOLYM/BEHÅLLARE;1.00;240, kärl, mat-, restavfall;
2.2.1;Extrakärl 190 l (restavfall);;;2.2;Hushåll;Restavfall;Behållarvolym;190;VOLYM/BEHÅLLARE;1.00;190, extrakärl, restavfall;
2.2.2;Kärl 240 l (mat-/restavfall);;kärl;2.2;Hushåll;Restavfall;Behållarvolym;240;VOLYM/BEHÅLLARE;1.00;240, kärl, mat-, restavfall;
2.2.2;Extrakärl 190 l (restavfall);;;2.2;Hushåll;Restavfall;Behållarvolym;190;VOLYM/BEHÅLLARE;1.00;190, extrakärl, restavfall;
2.2.3;Gemensam uppsamlingsplats för mat-/restavfall;;;2.2;Hushåll;Restavfall;;;;0.75;gemensam, mat-, restavfall, uppsamlingsplats;Faktor kunde inte härledas från enhet/text.
2.2.3;Extra digital licens (årskostnad);;;2.2;Hushåll;;;;;0.50;digital, extra, licens, årskostnad;Faktor kunde inte härledas från enhet/text. | Avfallstyp kunde inte härledas.
2.2.3;Fysisk nyckel, kallad fob (engångskostnad);;;2.2;Hushåll;;;;;0.50;engångskostnad, fob, fysisk, kallad, nyckel;Faktor kunde inte härledas från enhet/text. | Avfallstyp kunde inte härledas.
2.2.3;Byte av telefonnummer kopplat till licens;;;2.2;Hushåll;;;;;0.50;byte, kopplat, licens, telefonnummer;Faktor kunde inte härledas från enhet/text. | Avfallstyp kunde inte härledas.
2.2.3;Kostnad för öppning av behållare;;;2.2;Hushåll;;;;;0.50;behållare, kostnad, öppning;Faktor kunde inte härledas från enhet/text. | Avfallstyp kunde inte härledas.
2.2.4;Kärl 240 l (mat-/restavfall);;kärl;2.2;Hushåll;Restavfall;Behållarvolym;240;VOLYM/BEHÅLLARE;1.00;240, kärl, mat-, restavfall;
2.2.4;Kärl 370 l (restavfall);;kärl;2.2;Hushåll;Restavfall;Behållarvolym;370;VOLYM/BEHÅLLARE;1.00;370, kärl, restavfall;
