Tax Knowledge Report

Status: Strukturerad kunskap från Word/parsern. Ingen EDP ändras.
Total: 229

Kategorier:
- Flerbostad/verksamhet: 20
- Hushåll: 75
- Slam: 16
- Tilläggstjänst: 5
- Verksamhetsavfall: 14
- ÅVC/verksamhetsavfall: 99

Faktorhint:
- (tom): 69
- ST: 7
- TILLFÄLLE: 3
- VIKG: 96
- VOLM: 17
- VOLYM/BEHÅLLARE: 37

Details:
- 2.2.1 | Kärl 240 l (mat-/restavfall) | category=Hushåll waste=Restavfall unit=Behållarvolym factor=VOLYM/BEHÅLLARE confidence=1.00
- 2.2.1 | Extrakärl 190 l (restavfall) | category=Hushåll waste=Restavfall unit=Behållarvolym factor=VOLYM/BEHÅLLARE confidence=1.00
- 2.2.2 | Kärl 240 l (mat-/restavfall) | category=Hushåll waste=Restavfall unit=Behållarvolym factor=VOLYM/BEHÅLLARE confidence=1.00
- 2.2.2 | Extrakärl 190 l (restavfall) | category=Hushåll waste=Restavfall unit=Behållarvolym factor=VOLYM/BEHÅLLARE confidence=1.00
- 2.2.3 | Gemensam uppsamlingsplats för mat-/restavfall | category=Hushåll waste=Restavfall unit= factor= confidence=0.75
- 2.2.3 | Extra digital licens (årskostnad) | category=Hushåll waste= unit= factor= confidence=0.50
- 2.2.3 | Fysisk nyckel, kallad fob (engångskostnad) | category=Hushåll waste= unit= factor= confidence=0.50
- 2.2.3 | Byte av telefonnummer kopplat till licens | category=Hushåll waste= unit= factor= confidence=0.50
- 2.2.3 | Kostnad för öppning av behållare | category=Hushåll waste= unit= factor= confidence=0.50
- 2.2.4 | Kärl 240 l (mat-/restavfall) | category=Hushåll waste=Restavfall unit=Behållarvolym factor=VOLYM/BEHÅLLARE confidence=1.00
- 2.2.4 | Kärl 370 l (restavfall) | category=Hushåll waste=Restavfall unit=Behållarvolym factor=VOLYM/BEHÅLLARE confidence=1.00
- 2.2.4 | Kärl 660 l (restavfall) | category=Hushåll waste=Restavfall unit=Behållarvolym factor=VOLYM/BEHÅLLARE confidence=1.00
- 2.2.4 | Kärl 140 l (matavfall) | category=Hushåll waste=Matavfall unit=Behållarvolym factor=VOLYM/BEHÅLLARE confidence=1.00
- 2.2.4 | Kärl 190 l (förpackningar) | category=Hushåll waste=Förpackningar unit=Behållarvolym factor=VOLYM/BEHÅLLARE confidence=1.00
- 2.2.4 | Kärl 370 l (förpackningar) | category=Hushåll waste=Förpackningar unit=Behållarvolym factor=VOLYM/BEHÅLLARE confidence=1.00
- 2.2.4 | Kärl 660 l (förpackningar) | category=Hushåll waste=Förpackningar unit=Behållarvolym factor=VOLYM/BEHÅLLARE confidence=1.00
- 2.2.4 | Kärl 190 l (tidningar och returpapper) | category=Hushåll waste= unit=Behållarvolym factor=VOLYM/BEHÅLLARE confidence=0.75
- 2.2.4 | Kärl 370 l (tidningar och returpapper) | category=Hushåll waste= unit=Behållarvolym factor=VOLYM/BEHÅLLARE confidence=0.75
- 2.2.4 | (mat-/restavfall, förpackningar) | category=Hushåll waste=Restavfall unit= factor= confidence=0.75
- 2.2.5 | Kärl 240 l (mat-/restavfall) | category=Hushåll waste=Restavfall unit=Behållarvolym factor=VOLYM/BEHÅLLARE confidence=1.00
- 2.2.5 | Kärl 370 l (restavfall) | category=Hushåll waste=Restavfall unit=Behållarvolym factor=VOLYM/BEHÅLLARE confidence=1.00
- 2.2.5 | Kärl 660 l (restavfall) | category=Hushåll waste=Restavfall unit=Behållarvolym factor=VOLYM/BEHÅLLARE confidence=1.00
- 2.2.5 | Kärl 140 l (matavfall) | category=Hushåll waste=Matavfall unit=Behållarvolym factor=VOLYM/BEHÅLLARE confidence=1.00
- 2.2.5 | Bottentömmande behållare (mat-/restavfall) | category=Hushåll waste=Restavfall unit= factor= confidence=0.75
- 2.2.5 | Lastväxlarflak (restavfall) | category=Hushåll waste=Restavfall unit= factor= confidence=0.75
- 2.2.6 | Kärl 240 l (mat-/restavfall) | category=Hushåll waste=Restavfall unit=Behållarvolym factor=VOLYM/BEHÅLLARE confidence=1.00
- 2.2.6 | Kärl 370 l (restavfall) | category=Hushåll waste=Restavfall unit=Behållarvolym factor=VOLYM/BEHÅLLARE confidence=1.00
- 2.2.6 | Kärl 660 l (restavfall) | category=Hushåll waste=Restavfall unit=Behållarvolym factor=VOLYM/BEHÅLLARE confidence=1.00
- 2.2.6 | Kärl 140 l (matavfall) | category=Hushåll waste=Matavfall unit=Behållarvolym factor=VOLYM/BEHÅLLARE confidence=1.00
- 2.2.6 | Bottentömmande behållare (mat-/restavfall) | category=Hushåll waste=Restavfall unit= factor= confidence=0.75
- 2.2.6 | Lastväxlarflak (restavfall) | category=Hushåll waste=Restavfall unit= factor= confidence=0.75
- 2.2.7 | Kärl 140 l (kontors-/returpapper) | category=Hushåll waste= unit=Behållarvolym factor=VOLYM/BEHÅLLARE confidence=0.75
- 2.2.7 | Egen överlämning av förbrukat kontors-/returpapper enligt anvisning | category=Hushåll waste= unit= factor= confidence=0.50
- 2.2.7 | Egen överlämning av förbrukat matfett enligt anvisning | category=Hushåll waste= unit= factor= confidence=0.50
- 2.3 | Viktavgift matavfall | category=Hushåll waste=Matavfall unit= factor= confidence=0.75
- 2.3 | Viktavgift restavfall | category=Hushåll waste=Restavfall unit= factor= confidence=0.75
- 2.3 | Lyftavgift kärl | category=Hushåll waste= unit= factor= confidence=0.50
- 2.4.1 | Fakturavgift | category=Hushåll waste= unit= factor= confidence=0.50
- 2.4.2 | Delat kärl 240 l matavfall 40 kg | category=Hushåll waste=Matavfall unit=Vikt factor=VIKG confidence=1.00
- 2.4.2 | Delat kärl 240 l restavfall 40 kg | category=Hushåll waste=Restavfall unit=Vikt factor=VIKG confidence=1.00
- 2.4.2 | Extra kärl 140 l matavfall 60 kg | category=Hushåll waste=Matavfall unit=Vikt factor=VIKG confidence=1.00
- 2.4.2 | Extra kärl 140-190 l restavfall 60 kg | category=Hushåll waste=Restavfall unit=Vikt factor=VIKG confidence=1.00
- 2.4.2 | Kärl 370 l restavfall 60 kg | category=Hushåll waste=Restavfall unit=Vikt factor=VIKG confidence=1.00
- 2.4.2 | Kärl 660 l restavfall 100 kg | category=Hushåll waste=Restavfall unit=Vikt factor=VIKG confidence=1.00
- 2.4.3 | Överfullt kärl | category=Hushåll waste= unit= factor= confidence=0.50
- 2.4.3 | Överfull bottentömmande behållare | category=Hushåll waste= unit= factor= confidence=0.50
- 2.4.4 | Byte av trasigt kärl vid oaktsamhet | category=Hushåll waste= unit= factor= confidence=0.50
- 2.4.5 | Byte/återtag av kärl en (1) ggr/år 140–240 liter | category=Hushåll waste= unit=Behållarvolym factor=VOLYM/BEHÅLLARE confidence=0.75
- 2.4.5 | Byte/återtag av kärl en (1) ggr/år 370–660 liter | category=Hushåll waste= unit=Behållarvolym factor=VOLYM/BEHÅLLARE confidence=0.75
- 2.4.5 | Ytterligare byte av kärl under kalenderåret | category=Hushåll waste= unit= factor= confidence=0.50
- 2.4.6 | Kärl | category=Hushåll waste= unit= factor= confidence=0.50
- 2.4.6 | Bottentömmande behållare | category=Hushåll waste= unit= factor= confidence=0.50
- 2.4.7 | Kärl 140-660 L 1,5-10 | category=Hushåll waste= unit=Behållarvolym factor=VOLYM/BEHÅLLARE confidence=0.75
- 2.4.7 | Kärl 140-660 L 10-20 | category=Hushåll waste= unit=Behållarvolym factor=VOLYM/BEHÅLLARE confidence=0.75
- 2.4.7 | Kärl 140-660 L 20-30 | category=Hushåll waste= unit=Behållarvolym factor=VOLYM/BEHÅLLARE confidence=0.75
- 2.4.7 | Avfallsport/dörr | category=Hushåll waste= unit= factor= confidence=0.50
- 2.4.7 | Låst dörr, med kod | category=Hushåll waste= unit= factor= confidence=0.50
- 2.4.8 | Kärl 140 l matavfall | category=Hushåll waste=Matavfall unit=Behållarvolym factor=VOLYM/BEHÅLLARE confidence=1.00
- 2.4.8 | Kärl 190 l restavfall | category=Hushåll waste=Restavfall unit=Behållarvolym factor=VOLYM/BEHÅLLARE confidence=1.00
- 2.4.8 | Kärl 370 l restavfall | category=Hushåll waste=Restavfall unit=Behållarvolym factor=VOLYM/BEHÅLLARE confidence=1.00
- 2.4.8 | Kärl 660 l restavfall | category=Hushåll waste=Restavfall unit=Behållarvolym factor=VOLYM/BEHÅLLARE confidence=1.00
- 2.4.8 | Bottentömmande behållare | category=Hushåll waste= unit= factor= confidence=0.50
- 2.4.9 | Sidlastande fordon | category=Hushåll waste= unit= factor= confidence=0.50
- 2.4.9 | Bottentömmande fordon | category=Hushåll waste= unit= factor= confidence=0.50
- 2.4.9 | Tömningsavgift per behållare | category=Hushåll waste= unit= factor= confidence=0.50
- 2.4.10 | Betalsäck | category=Hushåll waste= unit= factor= confidence=0.50
- 2.4.10 | Akutsäck | category=Hushåll waste= unit= factor= confidence=0.50
- 2.4.11 | Matavfallspåsar 9 L | category=Hushåll waste= unit=Behållarvolym factor=VOLYM/BEHÅLLARE confidence=0.75
- 2.4.11 | Matavfallspåsar 22 L | category=Hushåll waste= unit=Behållarvolym factor=VOLYM/BEHÅLLARE confidence=0.75
- 2.4.11 | Gravitationslås till kärl | category=Hushåll waste= unit= factor= confidence=0.50
