Taxepunkter Row Build Plan

KRAV:
Alla taxor som hittas i Word/parsern ska finnas som egen rad i Taxepunkter.
EDP-data kompletterar endast raden efteråt.

Parser rows: 241
REUSE: 78
CREATE: 136
REVIEW: 27
Coverage plan valid: True

Details:
- REUSE | section+tax_point | 2.1 | En- och tvåbostadshus | excel_row=7 tax_code=GRUNDSMÅ | Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word
- REUSE | section+tax_point | 2.1 | Fritidshus | excel_row=8 tax_code=GRUNDFRI | Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word
- REUSE | section+tax_point | 2.1 | Verksamhet | excel_row=9 tax_code=GRUNDVHT | Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word
- REUSE | section+tax_point | 2.1 | Lägenhet i flerbostadshus | excel_row=10 tax_code=GRUNDFLB | Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word
- REUSE | section+tax_point | 2.1 | Lägenhet för specialändamål | excel_row=11 tax_code= | Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word
- REUSE | section+tax_point | 2.1 | Anläggning | excel_row=12 tax_code= | Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word
- REUSE | section+tax_point | 2.1 | Säsongsbaserad uppställningsplats | excel_row=13 tax_code= | Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word
- REUSE | section+tax_point | 2.1 | Campingstuga/-lägenhet | excel_row=14 tax_code= | Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word
- REVIEW | multiple section+tax_point rows | 2.2.1 | Kärl 240 l (mat-/restavfall) | excel_row=18 tax_code=KÄ240RM26 | 2 befintliga rader delar paragraf+taxapunkt
- REVIEW | multiple section+tax_point rows | 2.2.1 | Extrakärl 190 l (restavfall) | excel_row=20 tax_code=KÄ190XRM26 | 2 befintliga rader delar paragraf+taxapunkt
- REVIEW | multiple section+tax_point rows | 2.2.2 | Kärl 240 l (mat-/restavfall) | excel_row=25 tax_code=KÄ240RM26FRI | 2 befintliga rader delar paragraf+taxapunkt
- REUSE | section+tax_point | 2.2.2 | Extrakärl 190 l (restavfall) | excel_row=27 tax_code= | Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word
- REUSE | section+tax_point | 2.2.3 | Gemensam uppsamlingsplats för mat-/restavfall | excel_row=32 tax_code=GEMUPPFRI | Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word
- REUSE | section+tax_point | 2.2.3 | Extra digital licens (årskostnad) | excel_row=34 tax_code=GEMUPPEXTRAFRI | Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word
- REUSE | section+tax_point | 2.2.3 | Fysisk nyckel, kallad fob (engångskostnad) | excel_row=35 tax_code=FOBFRI | Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word
