WordTaxID;Status;Metod;Confidence;Word paragraf;Word taxapunkt;Word variant;Word enhet;Excel rad;Excel paragraf;Excel taxapunkt;Excel variant;Excel enhet;Excel taxakod;Duplicate EDP allowed;Kommentar
WTX-2-1-E3833423-01;MAPPED;section+tax_point;0.75;2.1;En- och tvåbostadshus;;;9;§2.1;En- och tvåbostadshus;;st/år;GRUNDPER;YES;Word-raden finns i Taxepunkter men variant eller enhet skiljer.
WTX-2-1-C65FBDF1-01;MAPPED;section+tax_point;0.75;2.1;Fritidshus;;;10;§2.1;Fritidshus;;st/år;GRUNDFRI;YES;Word-raden finns i Taxepunkter men variant eller enhet skiljer.
WTX-2-1-F4E0DD8E-01;MAPPED;section+tax_point;0.75;2.1;Verksamhet;;;11;§2.1;Verksamhet;;st/år;GRUNDLÄG;YES;Word-raden finns i Taxepunkter men variant eller enhet skiljer.
WTX-2-1-B7B2E21A-01;MAPPED;section+tax_point;0.75;2.1;Lägenhet i flerbostadshus;;lägenhet;12;§2.1;Lägenhet i flerbostadshus;;st/år;GRUNDFLB;YES;Word-raden finns i Taxepunkter men variant eller enhet skiljer.
WTX-2-1-EF4C378A-01;MAPPED;section+tax_point;0.75;2.1;Lägenhet för specialändamål;;lägenhet;13;§2.1;Lägenhet för specialändamål;;st/år;;YES;Word-raden finns i Taxepunkter men variant eller enhet skiljer.
WTX-2-1-E5A075AE-01;MAPPED;section+tax_point;0.75;2.1;Anläggning;;;14;§2.1;Anläggning;;st/år;;YES;Word-raden finns i Taxepunkter men variant eller enhet skiljer.
WTX-2-1-8E18B87D-01;MAPPED;section+tax_point;0.75;2.1;Säsongsbaserad uppställningsplats;;;15;§2.1;Säsongsbaserad uppställningsplats;;st/år;;YES;Word-raden finns i Taxepunkter men variant eller enhet skiljer.
WTX-2-1-FBA06BB3-01;MAPPED;section+tax_point;0.75;2.1;Campingstuga/-lägenhet;;lägenhet;16;§2.1;Campingstuga/-lägenhet;;st/år;;YES;Word-raden finns i Taxepunkter men variant eller enhet skiljer.
WTX-2-2-1-33B2D9B2-01;REVIEW;multiple section+tax_point rows;0.6;2.2.1;Kärl 240 l (mat-/restavfall);;kärl;20;§2.2.1;Kärl 240 l (mat-/restavfall);Hämtning var 14:e dag;st/år;KÄ240RM26;YES;2 Excel-rader delar paragraf och taxepunkt. Kräver granskning men är inte automatiskt fel. Samma EDP-taxa (KÄ240RM26) används av 2 Word-rader. Det är tillåtet och ska inte klassas som fel utan annan konflikt.
WTX-2-2-1-13C597EC-01;REVIEW;multiple section+tax_point rows;0.6;2.2.1;Extrakärl 190 l (restavfall);;;22;§2.2.1;Extrakärl 190 l (restavfall);Hämtning var 14:e dag;st/år;KÄ190XRM26;YES;2 Excel-rader delar paragraf och taxepunkt. Kräver granskning men är inte automatiskt fel.
WTX-2-2-2-38211250-01;REVIEW;multiple section+tax_point rows;0.6;2.2.2;Kärl 240 l (mat-/restavfall);;kärl;26;§2.2.2;Kärl 240 l (mat-/restavfall);Hämtning var 14:e dag;st/år;KÄ240RM26;YES;2 Excel-rader delar paragraf och taxepunkt. Kräver granskning men är inte automatiskt fel. Samma EDP-taxa (KÄ240RM26) används av 2 Word-rader. Det är tillåtet och ska inte klassas som fel utan annan konflikt.
WTX-2-2-2-4FB7EBAD-01;MAPPED;section+tax_point;0.75;2.2.2;Extrakärl 190 l (restavfall);;;28;§2.2.2;Extrakärl 190 l (restavfall);Hämtning var 14:e dag;st/år;KÄ190XRM26FRI;YES;Word-raden finns i Taxepunkter men variant eller enhet skiljer.
WTX-2-2-3-CA81DEB2-01;MAPPED;section+tax_point;0.75;2.2.3;Gemensam uppsamlingsplats för mat-/restavfall;;;31;§2.2.3;Gemensam uppsamlingsplats för mat-/restavfall;;st/år;GEMUPPFRI;YES;Word-raden finns i Taxepunkter men variant eller enhet skiljer.
WTX-2-2-3-5247F1E8-01;MAPPED;section+tax_point;0.75;2.2.3;Extra digital licens (årskostnad);;;33;§2.2.3;Extra digital licens (årskostnad);;st/år;;YES;Word-raden finns i Taxepunkter men variant eller enhet skiljer.
WTX-2-2-3-15503612-01;MAPPED;section+tax_point;0.75;2.2.3;Fysisk nyckel, kallad fob (engångskostnad);;;34;§2.2.3;Fysisk nyckel, kallad fob (engångskostnad);;st/tillfälle;;YES;Word-raden finns i Taxepunkter men variant eller enhet skiljer.
WTX-2-2-3-F9FAD568-01;MAPPED;section+tax_point;0.75;2.2.3;Byte av telefonnummer kopplat till licens;;;35;§2.2.3;Byte av telefonnummer kopplat till licens;;st/tillfälle;;YES;Word-raden finns i Taxepunkter men variant eller enhet skiljer.
WTX-2-2-3-B1BE7121-01;MAPPED;section+tax_point;0.75;2.2.3;Kostnad för öppning av behållare;;;36;§2.2.3;Kostnad för öppning av behållare;;st/tillfälle;;YES;Word-raden finns i Taxepunkter men variant eller enhet skiljer.
WTX-2-2-4-87C11FCE-01;REVIEW;multiple section+tax_point rows;0.6;2.2.4;Kärl 240 l (mat-/restavfall);;kärl;38;§2.2.4;Kärl 240 l (mat-/restavfall);Hämtning varje vecka;st/år;;YES;3 Excel-rader delar paragraf och taxepunkt. Kräver granskning men är inte automatiskt fel.
WTX-2-2-4-CE349D63-01;REVIEW;multiple section+tax_point rows;0.6;2.2.4;Kärl 370 l (restavfall);;kärl;41;§2.2.4;Kärl 370 l (restavfall);Hämtning varje vecka;st/år;;YES;3 Excel-rader delar paragraf och taxepunkt. Kräver granskning men är inte automatiskt fel.
WTX-2-2-4-A7811053-01;REVIEW;multiple section+tax_point rows;0.6;2.2.4;Kärl 660 l (restavfall);;kärl;44;§2.2.4;Kärl 660 l (restavfall);Hämtning varje vecka;st/år;;YES;3 Excel-rader delar paragraf och taxepunkt. Kräver granskning men är inte automatiskt fel.
WTX-2-2-4-46A41188-01;REVIEW;multiple section+tax_point rows;0.6;2.2.4;Kärl 140 l (matavfall);;kärl;47;§2.2.4;Kärl 140 l (matavfall);Hämtning varje vecka;st/år;;YES;3 Excel-rader delar paragraf och taxepunkt. Kräver granskning men är inte automatiskt fel.
