Word Excel Mapping Report

Syfte:
Skapar spårbar mappning mellan varje Word/parser-taxa och motsvarande rad i Taxepunkter.
Block50: varje rad får både sectionsbundet WordTaxID och sectionsoberoende StableTaxIdentity.

Regler:
- Word-master ändras aldrig.
- Excel-master ändras aldrig.
- Taxepunkter A:E ändras aldrig automatiskt.
- Taxa_från_edp ändras aldrig.
- Samma EDP-taxa kan användas av flera Word-rader utan att det automatiskt är fel.
- StableTaxIdentity används för att känna igen samma taxepunkt även om den flyttas mellan paragrafer.

Total Word rows: 241
MAPPED: 67
REVIEW: 23
MISSING: 151
Passed: False

Details:
- WTX-2-1-E3833423-01 | WTX-STABLE-397E133F86 | MAPPED | section+tax_point | 2.1 | En- och tvåbostadshus | excel_row=9 tax_code=GRUNDPER | Word-raden finns i Taxepunkter men variant eller enhet skiljer.
- WTX-2-1-C65FBDF1-01 | WTX-STABLE-EFACF02248 | MAPPED | section+tax_point | 2.1 | Fritidshus | excel_row=10 tax_code=GRUNDFRI | Word-raden finns i Taxepunkter men variant eller enhet skiljer.
- WTX-2-1-F4E0DD8E-01 | WTX-STABLE-F20B0C2A34 | MAPPED | section+tax_point | 2.1 | Verksamhet | excel_row=11 tax_code=GRUNDLÄG | Word-raden finns i Taxepunkter men variant eller enhet skiljer.
- WTX-2-1-B7B2E21A-01 | WTX-STABLE-52B0555656 | MAPPED | section+tax_point | 2.1 | Lägenhet i flerbostadshus | excel_row=12 tax_code=GRUNDFLB | Word-raden finns i Taxepunkter men variant eller enhet skiljer.
- WTX-2-1-EF4C378A-01 | WTX-STABLE-BEC99F3A32 | MAPPED | section+tax_point | 2.1 | Lägenhet för specialändamål | excel_row=13 tax_code= | Word-raden finns i Taxepunkter men variant eller enhet skiljer.
- WTX-2-1-E5A075AE-01 | WTX-STABLE-5FCDF6DCA6 | MAPPED | section+tax_point | 2.1 | Anläggning | excel_row=14 tax_code= | Word-raden finns i Taxepunkter men variant eller enhet skiljer.
- WTX-2-1-8E18B87D-01 | WTX-STABLE-16CBA55DFF | MAPPED | section+tax_point | 2.1 | Säsongsbaserad uppställningsplats | excel_row=15 tax_code= | Word-raden finns i Taxepunkter men variant eller enhet skiljer.
- WTX-2-1-FBA06BB3-01 | WTX-STABLE-F5D1A9FC06 | MAPPED | section+tax_point | 2.1 | Campingstuga/-lägenhet | excel_row=16 tax_code= | Word-raden finns i Taxepunkter men variant eller enhet skiljer.
- WTX-2-2-1-33B2D9B2-01 | WTX-STABLE-B33A92C2C3 | REVIEW | multiple section+tax_point rows | 2.2.1 | Kärl 240 l (mat-/restavfall) | excel_row=20 tax_code=KÄ240RM26 | 2 Excel-rader delar paragraf och taxepunkt. Kräver granskning men är inte automatiskt fel. Samma EDP-taxa (KÄ240RM26) används av 2 Word-rader. Det är tillåtet och ska inte klassas som fel utan annan konflikt. Stabil identitet WTX-STABLE-B33A92C2C3 förekommer i flera paragrafer. Det kan betyda flyttad/återanvänd taxepunkt och är granskningsinformation, inte automatiskt fel.
- WTX-2-2-1-13C597EC-01 | WTX-STABLE-50FBA33300 | REVIEW | multiple section+tax_point rows | 2.2.1 | Extrakärl 190 l (restavfall) | excel_row=22 tax_code=KÄ190XRM26 | 2 Excel-rader delar paragraf och taxepunkt. Kräver granskning men är inte automatiskt fel. Stabil identitet WTX-STABLE-50FBA33300 förekommer i flera paragrafer. Det kan betyda flyttad/återanvänd taxepunkt och är granskningsinformation, inte automatiskt fel.
- WTX-2-2-2-38211250-01 | WTX-STABLE-B33A92C2C3 | REVIEW | multiple section+tax_point rows | 2.2.2 | Kärl 240 l (mat-/restavfall) | excel_row=26 tax_code=KÄ240RM26 | 2 Excel-rader delar paragraf och taxepunkt. Kräver granskning men är inte automatiskt fel. Samma EDP-taxa (KÄ240RM26) används av 2 Word-rader. Det är tillåtet och ska inte klassas som fel utan annan konflikt. Stabil identitet WTX-STABLE-B33A92C2C3 förekommer i flera paragrafer. Det kan betyda flyttad/återanvänd taxepunkt och är granskningsinformation, inte automatiskt fel.
