Word Tax Coverage Report

KRAV:
Alla taxor som hittas i Word måste finnas som egen rad i Taxepunkter.
Detta gäller oavsett om Taxa_från_edp är tom eller saknar matchning.

Total parser rows: 241
COVERED: 67
REVIEW: 23
MISSING: 151
Passed: False

Details:
- COVERED | section+tax_point | 2.1 | En- och tvåbostadshus | excel_row=9 tax_code=GRUNDPER | Variant/enhet skiljer men Word-taxan finns som egen rad
- COVERED | section+tax_point | 2.1 | Fritidshus | excel_row=10 tax_code=GRUNDFRI | Variant/enhet skiljer men Word-taxan finns som egen rad
- COVERED | section+tax_point | 2.1 | Verksamhet | excel_row=11 tax_code=GRUNDLÄG | Variant/enhet skiljer men Word-taxan finns som egen rad
- COVERED | section+tax_point | 2.1 | Lägenhet i flerbostadshus | excel_row=12 tax_code=GRUNDFLB | Variant/enhet skiljer men Word-taxan finns som egen rad
- COVERED | section+tax_point | 2.1 | Lägenhet för specialändamål | excel_row=13 tax_code= | Variant/enhet skiljer men Word-taxan finns som egen rad
- COVERED | section+tax_point | 2.1 | Anläggning | excel_row=14 tax_code= | Variant/enhet skiljer men Word-taxan finns som egen rad
- COVERED | section+tax_point | 2.1 | Säsongsbaserad uppställningsplats | excel_row=15 tax_code= | Variant/enhet skiljer men Word-taxan finns som egen rad
- COVERED | section+tax_point | 2.1 | Campingstuga/-lägenhet | excel_row=16 tax_code= | Variant/enhet skiljer men Word-taxan finns som egen rad
- REVIEW | multiple section+tax_point rows | 2.2.1 | Kärl 240 l (mat-/restavfall) | excel_row=20 tax_code=KÄ240RM26 | 2 Taxepunkter rows share section+tax_point
- REVIEW | multiple section+tax_point rows | 2.2.1 | Extrakärl 190 l (restavfall) | excel_row=22 tax_code=KÄ190XRM26 | 2 Taxepunkter rows share section+tax_point
- REVIEW | multiple section+tax_point rows | 2.2.2 | Kärl 240 l (mat-/restavfall) | excel_row=26 tax_code=KÄ240RM26 | 2 Taxepunkter rows share section+tax_point
- COVERED | section+tax_point | 2.2.2 | Extrakärl 190 l (restavfall) | excel_row=28 tax_code=KÄ190XRM26FRI | Variant/enhet skiljer men Word-taxan finns som egen rad
- COVERED | section+tax_point | 2.2.3 | Gemensam uppsamlingsplats för mat-/restavfall | excel_row=31 tax_code=GEMUPPFRI | Variant/enhet skiljer men Word-taxan finns som egen rad
- COVERED | section+tax_point | 2.2.3 | Extra digital licens (årskostnad) | excel_row=33 tax_code= | Variant/enhet skiljer men Word-taxan finns som egen rad
- COVERED | section+tax_point | 2.2.3 | Fysisk nyckel, kallad fob (engångskostnad) | excel_row=34 tax_code= | Variant/enhet skiljer men Word-taxan finns som egen rad
- COVERED | section+tax_point | 2.2.3 | Byte av telefonnummer kopplat till licens | excel_row=35 tax_code= | Variant/enhet skiljer men Word-taxan finns som egen rad
- COVERED | section+tax_point | 2.2.3 | Kostnad för öppning av behållare | excel_row=36 tax_code= | Variant/enhet skiljer men Word-taxan finns som egen rad
- REVIEW | multiple section+tax_point rows | 2.2.4 | Kärl 240 l (mat-/restavfall) | excel_row=38 tax_code= | 3 Taxepunkter rows share section+tax_point
- REVIEW | multiple section+tax_point rows | 2.2.4 | Kärl 370 l (restavfall) | excel_row=41 tax_code= | 3 Taxepunkter rows share section+tax_point
- REVIEW | multiple section+tax_point rows | 2.2.4 | Kärl 660 l (restavfall) | excel_row=44 tax_code= | 3 Taxepunkter rows share section+tax_point
- REVIEW | multiple section+tax_point rows | 2.2.4 | Kärl 140 l (matavfall) | excel_row=47 tax_code= | 3 Taxepunkter rows share section+tax_point
- REVIEW | multiple section+tax_point rows | 2.2.4 | Kärl 190 l (förpackningar) | excel_row=50 tax_code= | 3 Taxepunkter rows share section+tax_point
- REVIEW | multiple section+tax_point rows | 2.2.4 | Kärl 370 l (förpackningar) | excel_row=53 tax_code= | 3 Taxepunkter rows share section+tax_point
- REVIEW | multiple section+tax_point rows | 2.2.4 | Kärl 660 l (förpackningar) | excel_row=56 tax_code= | 3 Taxepunkter rows share section+tax_point
- REVIEW | multiple section+tax_point rows | 2.2.4 | Kärl 190 l (tidningar och returpapper) | excel_row=59 tax_code= | 3 Taxepunkter rows share section+tax_point
- REVIEW | multiple section+tax_point rows | 2.2.4 | Kärl 370 l (tidningar och returpapper) | excel_row=62 tax_code= | 3 Taxepunkter rows share section+tax_point
- MISSING | no Taxepunkter row | 2.2.4 | (mat-/restavfall, förpackningar) | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
- REVIEW | multiple section+tax_point rows | 2.2.5 | Kärl 240 l (mat-/restavfall) | excel_row=69 tax_code= | 3 Taxepunkter rows share section+tax_point
- REVIEW | multiple section+tax_point rows | 2.2.5 | Kärl 370 l (restavfall) | excel_row=72 tax_code= | 3 Taxepunkter rows share section+tax_point
- REVIEW | multiple section+tax_point rows | 2.2.5 | Kärl 660 l (restavfall) | excel_row=75 tax_code= | 3 Taxepunkter rows share section+tax_point
- REVIEW | multiple section+tax_point rows | 2.2.5 | Kärl 140 l (matavfall) | excel_row=78 tax_code= | 3 Taxepunkter rows share section+tax_point
- REVIEW | multiple section+tax_point rows | 2.2.5 | Bottentömmande behållare (mat-/restavfall) | excel_row=81 tax_code= | 2 Taxepunkter rows share section+tax_point
- COVERED | section+tax_point | 2.2.5 | Lastväxlarflak (restavfall) | excel_row=82 tax_code= | Variant/enhet skiljer men Word-taxan finns som egen rad
- REVIEW | multiple section+tax_point rows | 2.2.6 | Kärl 240 l (mat-/restavfall) | excel_row=85 tax_code= | 3 Taxepunkter rows share section+tax_point
- REVIEW | multiple section+tax_point rows | 2.2.6 | Kärl 370 l (restavfall) | excel_row=88 tax_code= | 3 Taxepunkter rows share section+tax_point
- REVIEW | multiple section+tax_point rows | 2.2.6 | Kärl 660 l (restavfall) | excel_row=91 tax_code= | 3 Taxepunkter rows share section+tax_point
- REVIEW | multiple section+tax_point rows | 2.2.6 | Kärl 140 l (matavfall) | excel_row=94 tax_code= | 3 Taxepunkter rows share section+tax_point
- REVIEW | multiple section+tax_point rows | 2.2.6 | Bottentömmande behållare (mat-/restavfall) | excel_row=97 tax_code= | 2 Taxepunkter rows share section+tax_point
- COVERED | section+tax_point | 2.2.6 | Lastväxlarflak (restavfall) | excel_row=98 tax_code= | Variant/enhet skiljer men Word-taxan finns som egen rad
- COVERED | section+tax_point | 2.2.7 | Kärl 140 l (kontors-/returpapper) | excel_row=101 tax_code= | Variant/enhet skiljer men Word-taxan finns som egen rad
- COVERED | section+tax_point | 2.2.7 | Egen överlämning av förbrukat kontors-/returpapper enligt anvisning | excel_row=102 tax_code= | Variant/enhet skiljer men Word-taxan finns som egen rad
