Status;Metod;Parser paragraf;Parser taxapunkt;Parser variant;Parser enhet;Excel rad;Excel taxapunkt;Excel variant;Excel enhet;Excel taxakod;Kommentar
COVERED;exact row;2.1;En- och tvåbostadshus;;;2;En- och tvåbostadshus;;;1 650,00 kr;
COVERED;exact row;2.1;Fritidshus;;;3;Fritidshus;;;XX kr;
COVERED;exact row;2.1;Verksamhet;;;4;Verksamhet;;;XX kr;
COVERED;exact row;2.1;Lägenhet i flerbostadshus;;lägenhet;5;Lägenhet i flerbostadshus;;lägenhet;XX kr;
COVERED;exact row;2.1;Lägenhet för specialändamål;;lägenhet;6;Lägenhet för specialändamål;;lägenhet;XX kr;
COVERED;exact row;2.1;Anläggning;;;7;Anläggning;;;XX kr;
COVERED;exact row;2.1;Säsongsbaserad uppställningsplats;;;8;Säsongsbaserad uppställningsplats;;;XX kr;
COVERED;exact row;2.1;Campingstuga/-lägenhet;;lägenhet;9;Campingstuga/-lägenhet;;lägenhet;XX kr;
COVERED;exact row;2.2.1;Kärl 240 l (mat-/restavfall);;kärl;10;Kärl 240 l (mat-/restavfall);;kärl;XX kr;
COVERED;exact row;2.2.1;Extrakärl 190 l (restavfall);;;11;Extrakärl 190 l (restavfall);;;XX kr;
COVERED;exact row;2.2.2;Kärl 240 l (mat-/restavfall);;kärl;12;Kärl 240 l (mat-/restavfall);;kärl;XX kr;
COVERED;exact row;2.2.2;Extrakärl 190 l (restavfall);;;13;Extrakärl 190 l (restavfall);;;XX kr;
COVERED;exact row;2.2.3;Gemensam uppsamlingsplats för mat-/restavfall;;;14;Gemensam uppsamlingsplats för mat-/restavfall;;;XX kr;
COVERED;exact row;2.2.3;Extra digital licens (årskostnad);;;15;Extra digital licens (årskostnad);;;XX kr;
COVERED;exact row;2.2.3;Fysisk nyckel, kallad fob (engångskostnad);;;16;Fysisk nyckel, kallad fob (engångskostnad);;;XX kr;
COVERED;exact row;2.2.3;Byte av telefonnummer kopplat till licens;;;17;Byte av telefonnummer kopplat till licens;;;XX kr;
COVERED;exact row;2.2.3;Kostnad för öppning av behållare;;;18;Kostnad för öppning av behållare;;;XX kr;
COVERED;exact row;2.2.4;Kärl 240 l (mat-/restavfall);;kärl;19;Kärl 240 l (mat-/restavfall);;kärl;XX kr;
