Sheet;Candidate row;Score;Non-empty count;Values
Taxepunkter;5;0.925;14;Paragraf | Paragrafnamn | Taxapunkt | Variant | Enhet | Taxakod | Föreslagen Taxa | Taxabeskrivning | Faktor | Aktuellt pris (exkl m) | Föreslaget pris | Antal | Pris kr (inkl.) | Intäkt (kr) exkl
Taxepunkter;12;0.3367;11;"§2.1 | Grundavgift | Lägenhet i flerbostadshus | st/år | GRUNDFLB | =IF($F12<>"""",$F12,IFERROR(_xlfn.XLOOKUP(ROW(),Taxa_Saknas!$H:$H,Taxa_Saknas!$G:$G),"""")) | =IF($F12<>"""",IFERROR(_xlfn.XLOOKUP($F12,Taxa_från_edp!$B:$B,Taxa_från_edp!C:C),""""),"""") | =IF($F12<>"""",IFERROR(_xlfn.XLOOKUP($F12,Taxa_från_edp!$B:$B,Taxa_från_edp!G:G),""""),"""") | =IF($F12<>"""",IFERROR(_xlfn.XLOOKUP($F12,Taxa_från_edp!$B:$B,Taxa_från_edp!K:K),""""),"""")"
Taxepunkter;13;0.3097;9;"§2.1 | Grundavgift | Lägenhet för specialändamål | st/år | =IF($F13<>"""",IFERROR(_xlfn.XLOOKUP($F13,Taxa_från_edp!$B:$B,Taxa_från_edp!C:C),""""),"""") | =IF($F13<>"""",IFERROR(_xlfn.XLOOKUP($F13,Taxa_från_edp!$B:$B,Taxa_från_edp!G:G),""""),"""") | =IF($F13<>"""",IFERROR(_xlfn.XLOOKUP($F13,Taxa_från_edp!$B:$B,Taxa_från_edp!K:K),""""),"""")"
Taxepunkter;16;0.3097;9;"§2.1 | Grundavgift | Campingstuga/-lägenhet | st/år | =IF($F16<>"""",IFERROR(_xlfn.XLOOKUP($F16,Taxa_från_edp!$B:$B,Taxa_från_edp!C:C),""""),"""") | =IF($F16<>"""",IFERROR(_xlfn.XLOOKUP($F16,Taxa_från_edp!$B:$B,Taxa_från_edp!G:G),""""),"""") | =IF($F16<>"""",IFERROR(_xlfn.XLOOKUP($F16,Taxa_från_edp!$B:$B,Taxa_från_edp!K:K),""""),"""")"
Taxepunkter;20;0.2417;12;"§2.2.1 | Hämtningsavgift per år för en- och tvåbostadshus | Kärl 240 l (mat-/restavfall) | Hämtning var 14:e dag | st/år | KÄ240RM26 | =IF($F20<>"""",$F20,IFERROR(_xlfn.XLOOKUP(ROW(),Taxa_Saknas!$H:$H,Taxa_Saknas!$G:$G),"""")) | =IF($F20<>"""",IFERROR(_xlfn.XLOOKUP($F20,Taxa_från_edp!$B:$B,Taxa_från_edp!C:C),""""),"""") | =IF($F20<>"""",IFERROR(_xlfn.XLOOKUP($F20,Taxa_från_edp!$B:$B,Taxa_från_edp!G:G),""""),"""") | =IF($F20<>"""",IFERROR(_xlfn.XLOOKUP($F20,Taxa_från_edp!$B:$B,Taxa_från_edp!K:K),""""),"""")"
Taxepunkter;22;0.2417;12;"§2.2.1 | Hämtningsavgift per år för en- och tvåbostadshus | Extrakärl 190 l (restavfall) | Hämtning var 14:e dag | st/år | KÄ190XRM26 | =IF($F22<>"""",$F22,IFERROR(_xlfn.XLOOKUP(ROW(),Taxa_Saknas!$H:$H,Taxa_Saknas!$G:$G),"""")) | =IF($F22<>"""",IFERROR(_xlfn.XLOOKUP($F22,Taxa_från_edp!$B:$B,Taxa_från_edp!C:C),""""),"""") | =IF($F22<>"""",IFERROR(_xlfn.XLOOKUP($F22,Taxa_från_edp!$B:$B,Taxa_från_edp!G:G),""""),"""") | =IF($F22<>"""",IFERROR(_xlfn.XLOOKUP($F22,Taxa_från_edp!$B:$B,Taxa_från_edp!K:K),""""),"""")"
Taxepunkter;26;0.2417;12;"§2.2.2 | Hämtningsavgift per år för fritidshus | Kärl 240 l (mat-/restavfall) | Hämtning var 14:e dag | st/år | KÄ240RM26 | =IF($F26<>"""",$F26,IFERROR(_xlfn.XLOOKUP(ROW(),Taxa_Saknas!$H:$H,Taxa_Saknas!$G:$G),"""")) | =IF($F26<>"""",IFERROR(_xlfn.XLOOKUP($F26,Taxa_från_edp!$B:$B,Taxa_från_edp!C:C),""""),"""") | =IF($F26<>"""",IFERROR(_xlfn.XLOOKUP($F26,Taxa_från_edp!$B:$B,Taxa_från_edp!G:G),""""),"""") | =IF($F26<>"""",IFERROR(_xlfn.XLOOKUP($F26,Taxa_från_edp!$B:$B,Taxa_från_edp!K:K),""""),"""")"
Taxepunkter;28;0.2417;12;"§2.2.2 | Hämtningsavgift per år för fritidshus | Extrakärl 190 l (restavfall) | Hämtning var 14:e dag | st/år | KÄ190XRM26FRI | =IF($F28<>"""",$F28,IFERROR(_xlfn.XLOOKUP(ROW(),Taxa_Saknas!$H:$H,Taxa_Saknas!$G:$G),"""")) | =IF($F28<>"""",IFERROR(_xlfn.XLOOKUP($F28,Taxa_från_edp!$B:$B,Taxa_från_edp!C:C),""""),"""") | =IF($F28<>"""",IFERROR(_xlfn.XLOOKUP($F28,Taxa_från_edp!$B:$B,Taxa_från_edp!G:G),""""),"""") | =IF($F28<>"""",IFERROR(_xlfn.XLOOKUP($F28,Taxa_från_edp!$B:$B,Taxa_från_edp!K:K),""""),"""")"
Taxepunkter;9;0.2284;11;"§2.1 | Grundavgift | En- och tvåbostadshus | st/år | GRUNDPER | =IF($F9<>"""",$F9,IFERROR(_xlfn.XLOOKUP(ROW(),Taxa_Saknas!$H:$H,Taxa_Saknas!$G:$G),"""")) | =IF($F9<>"""",IFERROR(_xlfn.XLOOKUP($F9,Taxa_från_edp!$B:$B,Taxa_från_edp!C:C),""""),"""") | =IF($F9<>"""",IFERROR(_xlfn.XLOOKUP($F9,Taxa_från_edp!$B:$B,Taxa_från_edp!G:G),""""),"""") | =IF($F9<>"""",IFERROR(_xlfn.XLOOKUP($F9,Taxa_från_edp!$B:$B,Taxa_från_edp!K:K),""""),"""")"
Taxepunkter;10;0.2284;11;"§2.1 | Grundavgift | Fritidshus | st/år | GRUNDFRI | =IF($F10<>"""",$F10,IFERROR(_xlfn.XLOOKUP(ROW(),Taxa_Saknas!$H:$H,Taxa_Saknas!$G:$G),"""")) | =IF($F10<>"""",IFERROR(_xlfn.XLOOKUP($F10,Taxa_från_edp!$B:$B,Taxa_från_edp!C:C),""""),"""") | =IF($F10<>"""",IFERROR(_xlfn.XLOOKUP($F10,Taxa_från_edp!$B:$B,Taxa_från_edp!G:G),""""),"""") | =IF($F10<>"""",IFERROR(_xlfn.XLOOKUP($F10,Taxa_från_edp!$B:$B,Taxa_från_edp!K:K),""""),"""")"
Taxepunkter;11;0.2284;11;"§2.1 | Grundavgift | Verksamhet | st/år | GRUNDLÄG | =IF($F11<>"""",$F11,IFERROR(_xlfn.XLOOKUP(ROW(),Taxa_Saknas!$H:$H,Taxa_Saknas!$G:$G),"""")) | =IF($F11<>"""",IFERROR(_xlfn.XLOOKUP($F11,Taxa_från_edp!$B:$B,Taxa_från_edp!C:C),""""),"""") | =IF($F11<>"""",IFERROR(_xlfn.XLOOKUP($F11,Taxa_från_edp!$B:$B,Taxa_från_edp!G:G),""""),"""") | =IF($F11<>"""",IFERROR(_xlfn.XLOOKUP($F11,Taxa_från_edp!$B:$B,Taxa_från_edp!K:K),""""),"""")"
