Sheet;State;Rows;Columns;Detected header row;Detected headers;Tables;Formula count;Data validations;Merged ranges count;Hidden columns;Hidden rows count;Freeze panes;Auto filter
Dashboard;visible;9;2;3;Total intäkt (kr) | =SUM(Taxepunkter_Rådata!K:K);;6;0;0;;0;;
Taxepunkter;visible;379;14;5;Paragraf | Paragrafnamn | Taxapunkt | Variant | Enhet | Taxakod | Föreslagen Taxa | Taxabeskrivning | Faktor | Aktuellt pris (exkl m) | Föreslaget pris | Antal | Pris kr (inkl.) | Intäkt (kr) exkl;;2186;2;96;;0;;
Taxepunkter_Rådata;visible;292;12;1;Paragraf | Paragrafnamn | Taxapunkt | Variant | Enhet | Taxakod | Taxabeskrivning | Faktor | Aktuellt pris (exkl m) | Antal | Pris (kr) | Intäkt (kr);;3492;0;0;;0;;
Pivot Variant;visible;74;3;3;Paragraf | Variant | Total intäkt (kr);;71;0;0;;0;;
Pivot Paragraf;visible;35;2;3;Paragraf | Total intäkt (kr);;32;0;0;;0;;
Pivot Kapitel;visible;8;2;3;Kapitel | Total intäkt (kr);;5;0;0;;0;;
Diagram Intäkt;visible;1;1;;;;0;0;0;;0;;
Kontroller;visible;8;3;3;Kontroll | Resultat | Status;;10;0;0;;0;;
Taxa_från_edp;visible;371;26;1;intRecnum | strTaxekod | strTaxebenamning | strProdukt | strDelProdukt | bytDelradnr | strFaktor | strTaxedelAvser | strEntreprenorkod | strRenhDistrKod | curNuvarandePris | datNuvarandePrisDatum | bolPrisPerTomning | strAvvikandeFormel | bolPriserInklMoms | bytMomskod | strFormel;;0;0;0;;0;;
Taxa_till_edp;visible;1;17;1;intRecnum | strTaxekod | strTaxebenamning | strProdukt | strDelProdukt | bytDelradnr | strFaktor | strTaxedelAvser | strEntreprenorkod | strRenhDistrKod | curNuvarandePris | datNuvarandePrisDatum | bolPrisPerTomning | strAvvikandeFormel | bolPriserInklMoms | bytMomskod | strFormel;;0;0;0;;0;;
Sammanställning;visible;35;4;3;Paragraf | Paragrafnamn | Total intäkt (kr);;32;0;0;;0;;
Kostnadstäckning;visible;5;3;3;Total intäkt (kr) | =SUM(Taxepunkter!I:I);;2;0;0;;0;;
