Parser 3.0 explanation report

order | section | group | row_type | reason | text

0 |  |  | tax | low-level tax candidate | Förslag till taxestruktur för
1 |  |  | info | default info | Avfallssamverkan Norr
2 |  |  | info | default info | 2026-03-13
3 | 1 |  | section | low-level tax candidate | 1 § Allmänna bestämmelser
4 | 1 |  | info | default info | Taxan är beslutad av kommunfullmäktige 20XX-XX-XX §XX dnr XXX och ersätter där med 20XX-XX-XX §XX dnr XXX.
5 | 1 |  | info | default info | Avgifter i taxan är angivna inklusive 25% moms och gäller från 202X-XX-XX.
6 | 1.1 |  | section | default info | 1.1 § Allmänt
7 | 1.1 |  | tax | low-level tax candidate | Dessa föreskrifter om avgifter har kommunen beslutat med stöd av 27 kap. 4 § miljöbalken. Avgifterna avser den hantering av avfall som utförs genom kommunens försorg och som kommunen ansvarar för enligt 15 kap. 20 § miljöbalken samt enligt 6 kap. 2 och 6 §§ förordningen (2022:1274) om producentansvar för förpackningar. Taxan gäller tills ny taxa beslutas.
8 | 1.2 |  | section | default info | 1.2 § Ansvar för avfallshanteringen och gällande regler
9 | 1.2 |  | tax | low-level tax candidate | För kommunens avfallshantering gäller bestämmelserna i miljöbalken, avfallsförordningen, andra förordningar utfärdade med stöd av miljöbalken samt föreskrifter om avfallshantering för XX kommun. I föreskrifter om avfallshantering för XX kommun anges bland annat hur avfall ska sorteras.
10 | 1.3 |  | section | default info | 1.3 § Definitioner
11 | 1.3 |  | tax | low-level tax candidate | Abonnemang innebär regelbunden tömning med bestämt intervall. Debitering av abonnemang sker till abonnent.
12 | 1.3 |  | info | default info | Abonnent är kontaktperson/kund och fakturamottagare för ett abonnemang.
13 | 1.3 |  | tax | low-level tax candidate | Anläggning är en lokal där det uppstår avfall exempelvis byastugor, föreningslokaler, fiske- och jaktföreningar. Observera att detta gäller ej företag.
14 | 1.3 |  | tax | low-level tax candidate | Bostad är den/de byggnader på fastigheten som är registrerad som bostad enligt Lantmäteriets fastighetsinformation. En fastighet kan ha en (1) eller flera byggnader för bostad.
15 | 1.3 |  | info | default info | Budning är en unik beställning som görs inför en enskild hämtning och avgift debiteras.
16 | 1.3 |  | info | default info | Bygg- och rivningsavfall räknas ej som kommunalt avfall. Avgift debiteras motsvarande taxa för verksamhetsavfall. Bygg- och rivningsavfall avser allt avfall som uppkommer vid nybyggnation, ombyggnad, renovering, reparation eller rivning av byggnader, anläggningar eller delar därav. Avfallet omfattar såväl byggmaterial som fasta inventarier som tillhör byggnaden. Exempel är trä, betong, tegel, gips, metall, isolering, plast, fönster, dörrar och blandat rivningsmaterial. Farligt avfall som uppstår i samband med bygg- eller rivningsarbeten ingår men ska hanteras separat enligt gällande regler.
