Parser 3.0 precision report

Matched: 0
Missing: 0
Extra: 274
Passed: False

EXTRA
- 2.1 | en- och tvåbostadshus |  |  | Extra parser row
- 2.1 | fritidshus |  |  | Extra parser row
- 2.1 | verksamhet |  |  | Extra parser row
- 2.1 | lägenhet i flerbostadshus |  | lägenhet | Extra parser row
- 2.1 | lägenhet för specialändamål |  | lägenhet | Extra parser row
- 2.1 | anläggning |  |  | Extra parser row
- 2.1 | säsongsbaserad uppställningsplats |  |  | Extra parser row
- 2.1 | campingstuga/-lägenhet |  | lägenhet | Extra parser row
- 2.2.1 | kärl 240 l (mat-/restavfall) |  | kärl | Extra parser row
- 2.2.1 | kärl 240 l (mat-/restavfall) |  | kärl | Extra parser row
- 2.2.1 | extrakärl 190 l (restavfall) |  |  | Extra parser row
- 2.2.1 | extrakärl 190 l (restavfall) |  |  | Extra parser row
- 2.2.2 | kärl 240 l (mat-/restavfall) |  | kärl | Extra parser row
- 2.2.2 | kärl 240 l (mat-/restavfall) |  | kärl | Extra parser row
- 2.2.2 | extrakärl 190 l (restavfall) |  |  | Extra parser row
- 2.2.2 | extrakärl 190 l (restavfall) |  |  | Extra parser row
- 2.2.3 | gemensam uppsamlingsplats för mat-/restavfall |  |  | Extra parser row
- 2.2.3 | extra digital licens (årskostnad) |  |  | Extra parser row
- 2.2.3 | fysisk nyckel, kallad fob (engångskostnad) |  |  | Extra parser row
- 2.2.3 | byte av telefonnummer kopplat till licens |  |  | Extra parser row
- 2.2.3 | kostnad för öppning av behållare |  |  | Extra parser row
- 2.2.4 | kärl 240 l (mat-/restavfall) |  | kärl | Extra parser row
- 2.2.4 | kärl 240 l (mat-/restavfall) |  | kärl | Extra parser row
- 2.2.4 | kärl 240 l (mat-/restavfall) |  | kärl | Extra parser row
- 2.2.4 | kärl 370 l (restavfall) |  | kärl | Extra parser row
- 2.2.4 | kärl 370 l (restavfall) |  | kärl | Extra parser row
- 2.2.4 | kärl 370 l (restavfall) |  | kärl | Extra parser row
- 2.2.4 | kärl 660 l (restavfall) |  | kärl | Extra parser row
- 2.2.4 | kärl 660 l (restavfall) |  | kärl | Extra parser row
- 2.2.4 | kärl 660 l (restavfall) |  | kärl | Extra parser row
- 2.2.4 | kärl 140 l (matavfall) |  | kärl | Extra parser row
- 2.2.4 | kärl 140 l (matavfall) |  | kärl | Extra parser row
- 2.2.4 | kärl 140 l (matavfall) |  | kärl | Extra parser row
- 2.2.4 | kärl 190 l (förpackningar) |  | kärl | Extra parser row
- 2.2.4 | kärl 190 l (förpackningar) |  | kärl | Extra parser row
- 2.2.4 | kärl 190 l (förpackningar) |  | kärl | Extra parser row
- 2.2.4 | kärl 370 l (förpackningar) |  | kärl | Extra parser row
- 2.2.4 | kärl 370 l (förpackningar) |  | kärl | Extra parser row
- 2.2.4 | kärl 370 l (förpackningar) |  | kärl | Extra parser row
- 2.2.4 | kärl 660 l (förpackningar) |  | kärl | Extra parser row
- 2.2.4 | kärl 660 l (förpackningar) |  | kärl | Extra parser row
- 2.2.4 | kärl 660 l (förpackningar) |  | kärl | Extra parser row
- 2.2.4 | kärl 190 l (tidningar och returpapper) |  | kärl | Extra parser row
- 2.2.4 | kärl 190 l (tidningar och returpapper) |  | kärl | Extra parser row
- 2.2.4 | kärl 190 l (tidningar och returpapper) |  | kärl | Extra parser row
- 2.2.4 | kärl 370 l (tidningar och returpapper) |  | kärl | Extra parser row
- 2.2.4 | kärl 370 l (tidningar och returpapper) |  | kärl | Extra parser row
- 2.2.4 | kärl 370 l (tidningar och returpapper) |  | kärl | Extra parser row
- 2.2.4 | (mat-/restavfall, förpackningar) |  |  | Extra parser row
- 2.2.5 | kärl 240 l (mat-/restavfall) |  | kärl | Extra parser row
- 2.2.5 | kärl 240 l (mat-/restavfall) |  | kärl | Extra parser row
- 2.2.5 | kärl 240 l (mat-/restavfall) |  | kärl | Extra parser row
- 2.2.5 | kärl 370 l (restavfall) |  | kärl | Extra parser row
- 2.2.5 | kärl 370 l (restavfall) |  | kärl | Extra parser row
- 2.2.5 | kärl 370 l (restavfall) |  | kärl | Extra parser row
- 2.2.5 | kärl 660 l (restavfall) |  | kärl | Extra parser row
- 2.2.5 | kärl 660 l (restavfall) |  | kärl | Extra parser row
- 2.2.5 | kärl 660 l (restavfall) |  | kärl | Extra parser row
- 2.2.5 | kärl 140 l (matavfall) |  | kärl | Extra parser row
- 2.2.5 | kärl 140 l (matavfall) |  | kärl | Extra parser row
- 2.2.5 | kärl 140 l (matavfall) |  | kärl | Extra parser row
- 2.2.5 | bottentömmande behållare (mat-/restavfall) |  |  | Extra parser row
- 2.2.5 | lastväxlarflak (restavfall) |  |  | Extra parser row
- 2.2.6 | kärl 240 l (mat-/restavfall) |  | kärl | Extra parser row
- 2.2.6 | kärl 240 l (mat-/restavfall) |  | kärl | Extra parser row
- 2.2.6 | kärl 240 l (mat-/restavfall) |  | kärl | Extra parser row
- 2.2.6 | kärl 370 l (restavfall) |  | kärl | Extra parser row
- 2.2.6 | kärl 370 l (restavfall) |  | kärl | Extra parser row
- 2.2.6 | kärl 370 l (restavfall) |  | kärl | Extra parser row
- 2.2.6 | kärl 660 l (restavfall) |  | kärl | Extra parser row
- 2.2.6 | kärl 660 l (restavfall) |  | kärl | Extra parser row
- 2.2.6 | kärl 660 l (restavfall) |  | kärl | Extra parser row
